loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.3888889,0.3039927,0.7398615,-0.08278692,-1.228355,-0.4523699,-1.532905,0.4096572,-0.1810971,0.2286385,-0.3531938,-0.819959,1.593057,0.03790608,-0.3054782,-0.3808472,-0.9131308,-2.384555,1.518429,-0.6892259,1.148096,-0.2905932,288.5924,255.5143,322.9822
3,0.4,0.2772828,0.7694923,-0.1127426,-1.226444,-0.4626742,-1.531578,0.4247124,-0.2015072,0.2529125,-0.3496059,-0.8288503,1.596133,0.01530579,-0.3165395,-0.397762,-0.9179714,-2.38974,1.522201,-0.6905413,1.153448,-0.2897175,288.2368,257.1734,321.5917
3,0.4111111,0.2622765,0.8023779,-0.1405608,-1.224796,-0.4736469,-1.530318,0.4397001,-0.2218972,0.2707898,-0.3461939,-0.8382267,1.599605,0.04804528,-0.3489454,-0.3955171,-0.9220498,-2.396006,1.524254,-0.6918381,1.159012,-0.2887917,287.8674,258.8456,320.2185
3,0.4222222,0.24196,0.8363216,-0.1598832,-1.222822,-0.4845856,-1.528842,0.4535192,-0.2529027,0.2833184,-0.3427856,-0.8495441,1.604752,0.08774871,-0.3640155,-0.3827246,-0.925473,-2.402004,1.525245,-0.693768,1.165424,-0.2879235,287.2865,260.1697,319.1794
3,0.4333333,0.2003103,0.8702654,-0.1770471,-1.221295,-0.4967983,-1.525401,0.4640754,-0.2828078,0.2884267,-0.3394955,-0.8624647,1.611334,0.09258363,-0.3712134,-0.3701662,-0.9288301,-2.407605,1.527438,-0.6954443,1.17134,-0.2870502,286.8259,261.7217,317.9192
3,0.4444444,0.172545,0.8967076,-0.2069898,-1.218632,-0.5086094,-1.522436,0.4694041,-0.2924348,0.2936594,-0.3362965,-0.8730193,1.615959,0.09312254,-0.3519003,-0.3500443,-0.9319322,-2.411726,1.528599,-0.6974247,1.17779,-0.2862271,286.2823,263.5624,316.389
3,0.4555556,0.1373467,0.9124213,-0.2475372,-1.215058,-0.520143,-1.518711,0.4760723,-0.2840356,0.3170635,-0.3320515,-0.8823586,1.619296,0.07973477,-0.3170629,-0.285705,-0.9330076,-2.414796,1.529974,-0.6995026,1.184342,-0.2853681,285.7523,265.4757,314.8518
3,0.4666667,0.09892944,0.9228284,-0.2869511,-1.211806,-0.5318519,-1.514127,0.4708585,-0.2734066,0.3224756,-0.3286618,-0.8930314,1.624354,0.07360509,-0.3010929,-0.2573013,-0.934541,-2.418572,1.531306,-0.7017326,1.191068,-0.2843173,285.2876,267.3788,313.2805
3,0.4777778,0.05092657,0.9470508,-0.3232735,-1.207765,-0.5441914,-1.508741,0.4445423,-0.2488464,0.3420095,-0.3243262,-0.8997804,1.62674,0.07665634,-0.2902747,-0.218339,-0.9355653,-2.422137,1.53249,-0.703941,1.197647,-0.2834179,284.8898,269.3229,311.6332
3,0.4888889,0.02746415,0.9554046,-0.3488749,-1.203905,-0.5560771,-1.50411,0.4234135,-0.2413832,0.3550485,-0.3199404,-0.9111143,1.633374,0.08162478,-0.2924791,-0.199135,-0.9368974,-2.426695,1.533824,-0.7063969,1.204546,-0.2824085,284.5841,271.3308,309.8626
3,0.5,-0.01839274,0.9732034,-0.393692,-1.198856,-0.5686014,-1.497797,0.3948914,-0.2359958,0.3766607,-0.3152432,-0.9199725,1.638435,0.08151785,-0.2946554,-0.1981728,-0.9389177,-2.430889,1.535429,-0.7090818,1.211714,-0.2815053,284.2227,273.6617,307.9032
