loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.4111111,-1.764431,-0.4427491,-1.096473,-1.161523,3.686166,-2.759731,-1.3155,0.0372952,0,0,10.68426,15.4741,-0.6496614,-0.4187077,1.179545,-0.4100022,3.949371,-0.2974096,-0.2485073,-0.2358466,-0.5470446,-0.8566164,1.788405,-0.02429043,0.1175802,1.210076,0.7489787,295.8563,292.4213,26.90315
3,0.4222222,-1.785802,-0.4010458,-1.073376,-1.150162,3.684472,-2.738695,-1.313831,0.1515214,0,0,10.60606,14.87781,-0.6725669,-0.4742467,1.259497,-0.3919827,3.944081,-0.2843747,-0.2456594,-0.2625352,-0.5757924,-0.863865,1.783133,-0.01825357,0.1156763,1.218445,0.7536029,295.5931,289.7241,29.76607
3,0.4333333,-1.814653,-0.3250491,-1.025012,-1.140895,3.681306,-2.716425,-1.313115,0.06338926,0,0,10.52786,14.64321,-0.6965495,-0.525562,1.337351,-0.3727094,3.936604,-0.268934,-0.2426886,-0.277501,-0.5960308,-0.871145,1.778101,-0.01246359,0.1127476,1.226842,0.7576772,295.4673,286.7739,32.44866
3,0.4444444,-1.860627,-0.2386054,-0.9926922,-1.13172,3.676423,-2.692153,-1.3122,0.08237374,0,0,10.45943,14.72141,-0.69375,-0.5396371,1.424654,-0.3526649,3.932959,-0.2577631,-0.2499566,-0.2529514,-0.5853583,-0.8772836,1.775514,-0.007738347,0.1090434,1.235356,0.7612386,295.3558,283.6193,35.01441
3,0.4555556,-1.91305,-0.1986039,-1.023814,-1.120254,3.671252,-2.667174,-1.310377,0.1651181,0,0,10.39101,15.13197,-0.6759569,-0.5143263,1.508748,-0.3324435,3.933868,-0.2518948,-0.267121,-0.232693,-0.6097554,-0.884913,1.772853,-0.002454635,0.104856,1.244098,0.7645559,295.201,280.4983,37.33163
3,0.4666667,-1.949452,-0.1788869,-1.064386,-1.107823,3.666082,-2.642488,-1.307784,0.2348284,0,0,10.33236,15.91398,-0.6798079,-0.4814063,1.549344,-0.3137918,3.93542,-0.245753,-0.2761902,-0.2753516,-0.654358,-0.8935662,1.766828,0.004716725,0.1004429,1.253204,0.7679346,295.0078,277.5221,39.53687
3,0.4777778,-2.01255,-0.13574,-1.097637,-1.096023,3.658698,-2.614523,-1.3061,0.1513167,0,0,10.28348,16.86217,-0.7386926,-0.5252222,1.656246,-0.2903256,3.928865,-0.2291341,-0.2433304,-0.3063884,-0.6588441,-0.9011424,1.761135,0.009927732,0.0960262,1.262833,0.7715383,294.8945,274.4752,42.02092
3,0.4888889,-2.061753,-0.09016596,-1.105367,-1.085523,3.650823,-2.585929,-1.305609,0.04321536,0,0,10.24438,17.89834,-0.8019593,-0.5615045,1.746168,-0.2665148,3.919762,-0.2091524,-0.2198318,-0.3032928,-0.6515947,-0.9082801,1.756997,0.0143113,0.09188177,1.273036,0.7752486,294.8939,270.9429,45.21135
3,0.5,-2.140839,-0.02772027,-1.120646,-1.075541,3.640764,-2.554481,-1.302843,0.2521865,0,0,10.21505,18.92473,-0.8500457,-0.6103971,1.740045,-0.2459312,3.901482,-0.1803637,-0.2111821,-0.2830796,-0.6463696,-0.9153247,1.754043,0.01815024,0.08817987,1.283736,0.7789684,294.915,267.0586,48.92006
3,0.5111111,-2.226199,-0.001567394,-1.139817,-1.06491,3.631329,-2.52214,-1.301926,0.0817451,0,0,10.1955,19.64809,-0.8750618,-0.6858513,1.692143,-0.2273748,3.869839,-0.1392655,-0.191827,-0.255428,-0.6412455,-0.922429,1.752106,0.02059556,0.08485273,1.294976,0.7828515,294.9424,263.4259,52.54799
3,0.5222223,-2.341373,0.03208935,-1.140833,-1.055485,3.62169,-2.487849,-1.300014,0.1743034,0,0,10.17595,19.95113,-0.9445878,-0.8323878,1.561326,-0.2130822,3.810308,-0.06852926,-0.1831015,-0.2320084,-0.6296436,-0.9292265,1.749987,0.02352077,0.08190058,1.306755,0.7867488,294.9435,259.8701,56.28894
