loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
7,0.3444445,-0.2481731,-0.1366528,-0.1793497,-1.292009,3.665826,-2.958977,-1.519305,0.01002102,0,0,0.02355034,-0.07275924,0.2665508,-0.7879229,4.343587,-0.6011671,-0.1892001,-0.1911349,-0.1594086,-0.5349731,2.350058,-0.5093013,0.07337953,1.137097,0.754907,291.1306,301.2026,15.53488
7,0.3555556,-0.2821278,-0.1219753,-0.2062846,-1.288731,3.666125,-2.954865,-1.518319,0.08978475,0,0,0.02250995,-0.1079322,0.2706989,-0.7840602,4.343312,-0.6011775,-0.1928176,-0.2007841,-0.2030393,-0.5369689,2.342204,-0.5003246,0.0725593,1.138994,0.7552795,291.0931,300.433,16.18806
7,0.3666667,-0.3468517,-0.1065019,-0.2631819,-1.283882,3.665801,-2.948955,-1.517241,0.097307,0,0,0.0344504,-0.1527957,0.3066998,-0.7785187,4.34339,-0.6019862,-0.1945107,-0.2296425,-0.2615729,-0.5395809,2.331747,-0.4891023,0.07180768,1.141152,0.7558595,291.0678,299.6334,16.86392
7,0.3777778,-0.3818741,-0.09074546,-0.2901419,-1.279771,3.665396,-2.943607,-1.51665,0.05242568,0,0,0.0420354,-0.1667118,0.3279114,-0.7738352,4.344387,-0.6033269,-0.1936626,-0.2477974,-0.2785979,-0.5410255,2.322672,-0.4792036,0.07115994,1.1436,0.7566665,291.0239,298.8187,17.62224
7,0.3888889,-0.4488301,-0.06428514,-0.3173374,-1.275455,3.664275,-2.936078,-1.513912,0.2488463,0,0,0.05396572,-0.1881339,0.3618543,-0.7680115,4.345287,-0.6049645,-0.1897658,-0.2649142,-0.3126948,-0.5435277,2.312507,-0.4685379,0.07065754,1.146262,0.7575711,290.8863,297.9219,18.56029
7,0.4,-0.4923978,-0.0462996,-0.3368941,-1.271174,3.663162,-2.928892,-1.512733,0.1042259,0,0,0.0412826,-0.2212171,0.3788597,-0.7622153,4.344896,-0.6046305,-0.1847398,-0.2830839,-0.3393467,-0.5460705,2.30216,-0.4577811,0.0703125,1.149112,0.7585197,290.798,296.9182,19.62999
7,0.4111111,-0.5508293,-0.02950276,-0.3692741,-1.266084,3.661681,-2.920225,-1.508801,0.3569697,0,0,0.008394055,-0.291603,0.4011973,-0.7547169,4.342243,-0.6016518,-0.181032,-0.3108827,-0.3904693,-0.549719,2.289251,-0.44488,0.07010812,1.152087,0.7594888,290.6639,295.9073,20.73554
7,0.4222222,-0.6124631,-0.01052726,-0.3984994,-1.260972,3.659898,-2.9111,-1.506444,0.2103833,0,0,-0.03298323,-0.3609375,0.4299867,-0.7464436,4.339453,-0.5977681,-0.1719316,-0.3344279,-0.4352512,-0.5535572,2.276567,-0.4325139,0.0699487,1.155177,0.7605847,290.5681,295.0217,21.74005
7,0.4333333,-0.6475338,0.008583039,-0.4105685,-1.256417,3.658011,-2.90232,-1.502144,0.3890228,0,0,-0.04772244,-0.4366781,0.4596521,-0.737416,4.335688,-0.5939837,-0.165975,-0.345182,-0.4800287,-0.5580809,2.264122,-0.4203749,0.06981818,1.158347,0.7617606,290.4636,294.044,22.85791
7,0.4444444,-0.6878906,0.03401282,-0.4291334,-1.251345,3.655591,-2.892706,-1.498177,0.356699,0,0,-0.05398724,-0.5177122,0.4807223,-0.7277296,4.330316,-0.589222,-0.1695931,-0.3559015,-0.5236617,-0.5629347,2.251096,-0.4073566,0.06966127,1.161604,0.7630587,290.4396,293.0499,23.9782
7,0.4555556,-0.7091169,0.0552495,-0.4390437,-1.2467,3.652915,-2.883466,-1.494557,0.3249299,0,0,-0.06022627,-0.5923762,0.506076,-0.7176601,4.32461,-0.5841689,-0.1708906,-0.3527521,-0.5513577,-0.5678568,2.239528,-0.3956736,0.0695028,1.164993,0.7644267,290.4419,292.0655,25.07643
7,0.4666667,-0.7398804,0.09134662,-0.4523673,-1.241752,3.649727,-2.873493,-1.489456,0.4602607,0,0,-0.06762587,-0.6243669,0.5156014,-0.7083684,4.319544,-0.5793651,-0.1838764,-0.3431659,-0.5778932,-0.5731634,2.22847,-0.3839152,0.06939667,1.168465,0.7657436,290.3518,291.0249,26.27291
7,0.4777778,-0.7781374,0.1233132,-0.4592701,-1.237336,3.645714,-2.862516,-1.484856,0.4129948,0,0,-0.0707859,-0.6190533,0.5209677,-0.6999624,4.316208,-0.5759743,-0.1881738,-0.3389025,-0.5842569,-0.5778367,2.217798,-0.3727674,0.06935059,1.17194,0.7669615,290.2375,289.9069,27.56715
7,0.4888889,-0.820642,0.1455856,-0.4756679,-1.232437,3.641603,-2.850726,-1.478866,0.5401677,0,0,-0.07507893,-0.5860125,0.5157774,-0.6925316,4.313847,-0.5731991,-0.1852317,-0.3517374,-0.6076987,-0.5832499,2.205647,-0.3606767,0.06933921,1.175335,0.7681569,290.1192,288.7453,28.88097
7,0.5,-0.8482943,0.1562209,-0.4822974,-1.227615,3.637812,-2.839301,-1.472132,0.6066761,0,0,-0.08246873,-0.5807177,0.5264953,-0.6840031,4.310961,-0.5698425,-0.1813162,-0.3646013,-0.6407277,-0.5892249,2.192868,-0.3481934,0.06937563,1.178599,0.769389,290.0765,287.7115,30.0276
7,0.5111111,-0.8833841,0.1807407,-0.4869718,-1.223123,3.633082,-2.826555,-1.464948,0.6470741,0,0,-0.09719501,-0.5946662,0.5563641,-0.6740897,4.307461,-0.5656237,-0.1732088,-0.3615165,-0.6887457,-0.596791,2.180558,-0.3363594,0.06941828,1.181813,0.7708635,290.1439,286.9583,30.88285
7,0.5222223,-0.9110266,0.1999031,-0.4926273,-1.218591,3.628352,-2.813942,-1.458393,0.5890127,0,0,-0.1109167,-0.5957994,0.5766875,-0.6645338,4.304457,-0.56158,-0.1787238,-0.3615378,-0.7100121,-0.6036172,2.168864,-0.3246383,0.06951691,1.185052,0.772502,290.261,286.3289,31.70934
7,0.5333334,-0.9737934,0.2372625,-0.4975586,-1.214415,3.622345,-2.798859,-1.450281,0.7316826,0,0,-0.1226247,-0.6096526,0.5799089,-0.6552761,4.300245,-0.5565155,-0.1629917,-0.3776053,-0.7303674,-0.6104525,2.156102,-0.3128729,0.06969017,1.188362,0.7741715,290.3619,285.691,32.61802
7,0.5444446,-1.011054,0.2651131,-0.4905597,-1.210779,3.616507,-2.784266,-1.442715,0.6800295,0,0,-0.1353632,-0.6927732,0.5882287,-0.6439992,4.291541,-0.5476849,-0.1429,-0.3852915,-0.7518036,-0.6177074,2.143398,-0.3014344,0.06994138,1.191774,0.7758394,290.4197,285.0573,33.54017
7,0.5555557,-1.032351,0.2790701,-0.4865027,-1.207639,3.61082,-2.770343,-1.432711,0.9032515,0,0,-0.1352722,-0.7524781,0.6029444,-0.6325902,4.283166,-0.5395993,-0.1515862,-0.3777424,-0.767759,-0.6252437,2.132623,-0.2908657,0.07028846,1.195288,0.7774367,290.4308,284.3033,34.58747
7,0.5666668,-1.039835,0.273806,-0.4822117,-1.203901,3.605958,-2.756931,-1.424561,0.7315603,0,0,-0.1300338,-0.82594,0.5898776,-0.6214619,4.27142,-0.5288849,-0.1706708,-0.3584977,-0.7654894,-0.6322616,2.123233,-0.2807904,0.07069924,1.198939,0.7790475,290.4221,283.591,35.58883
7,0.577778,-1.045251,0.2654744,-0.4671862,-1.201096,3.601349,-2.743582,-1.416466,0.7278748,0,0,-0.1471445,-0.8535873,0.578187,-0.6112839,4.261628,-0.5188621,-0.1802853,-0.3350629,-0.776084,-0.6398734,2.114391,-0.271341,0.07111849,1.202762,0.7807391,290.3781,282.9089,36.57082
7,0.5888891,-1.067636,0.2698041,-0.4651712,-1.1979,3.596004,-2.728972,-1.407546,0.8028966,0,0,-0.1459385,-0.8099824,0.5996376,-0.6011196,4.256494,-0.5130023,-0.1815065,-0.3276328,-0.7963287,-0.6481809,2.104777,-0.2616146,0.0715717,1.206693,0.7824278,290.2739,282.1166,37.69388
7,0.6000003,-1.100653,0.2837732,-0.4611841,-1.194994,3.590121,-2.713538,-1.397912,0.8671919,0,0,-0.1299286,-0.7567344,0.6039782,-0.5919381,4.252326,-0.5086643,-0.1857312,-0.3169936,-0.7973808,-0.6559792,2.095595,-0.2522256,0.07202475,1.21058,0.784052,290.1363,281.176,38.99931
7,0.6111114,-1.164564,0.2945745,-0.4594046,-1.192221,3.584225,-2.696219,-1.386939,0.9889601,0,0,-0.1310347,-0.7013137,0.5967157,-0.58353,4.248679,-0.5041279,-0.1668693,-0.3320362,-0.8262872,-0.6646621,2.084919,-0.2425495,0.07244998,1.214306,0.7855412,289.9987,280.3366,40.20111
7,0.6222225,-1.218869,0.3074735,-0.4586923,-1.189378,3.578044,-2.678638,-1.375901,0.9935722,0,0,-0.1819089,-0.7078521,0.6396254,-0.5721285,4.242647,-0.4952878,-0.1596964,-0.3363878,-0.8572412,-0.6740471,2.074655,-0.2330197,0.07280113,1.217829,0.7869682,289.9541,279.6599,41.17878
7,0.6333337,-1.266775,0.3203249,-0.4611327,-1.186717,3.571557,-2.660592,-1.363354,1.131457,0,0,-0.2051204,-0.7314092,0.675912,-0.5600361,4.235538,-0.4861673,-0.1525242,-0.3418123,-0.8871192,-0.6837538,2.064348,-0.2235894,0.07309555,1.22123,0.7883964,290.007,279.2126,41.85344
7,0.6444448,-1.311529,0.3204459,-0.4581126,-1.183967,3.56552,-2.642064,-1.352076,1.01391,0,0,-0.2253133,-0.775106,0.6812232,-0.548159,4.22492,-0.4741391,-0.1399204,-0.3578659,-0.9010515,-0.693126,2.05372,-0.2141975,0.07329609,1.224655,0.7899156,290.1148,278.9919,42.30686
7,0.655556,-1.343518,0.3291178,-0.4498065,-1.181695,3.559181,-2.623523,-1.34041,1.050259,0,0,-0.2551967,-0.8400607,0.6737322,-0.5365598,4.210966,-0.4584355,-0.1338562,-0.3718046,-0.9319653,-0.7032737,2.043025,-0.2047119,0.07342468,1.228234,0.7914928,290.2155,278.699,42.85138
7,0.6666671,-1.354183,0.3377436,-0.4424874,-1.179648,3.552758,-2.605449,-1.327989,1.118595,0,0,-0.2900535,-0.9595402,0.7214829,-0.5214368,4.193247,-0.4388035,-0.1392698,-0.3877684,-0.9350853,-0.7127551,2.032379,-0.194884,0.07350253,1.232028,0.7931356,290.2526,278.1761,43.62547
7,0.6777782,-1.368034,0.3463469,-0.4372993,-1.177845,3.546248,-2.587359,-1.315877,1.089398,0,0,-0.2953666,-1.02026,0.7245183,-0.5085109,4.176171,-0.4205762,-0.1456003,-0.374961,-0.9339872,-0.7221768,2.02384,-0.1866538,0.073563,1.236038,0.7947932,290.2134,277.4651,44.61236
7,0.6888894,-1.37552,0.3314477,-0.4371608,-1.175432,3.540466,-2.569469,-1.30383,1.083574,0,0,-0.3083693,-1.068082,0.6903475,-0.4970156,4.155819,-0.3989277,-0.1688419,-0.3397089,-0.926385,-0.7316731,2.017195,-0.179039,0.07361476,1.240212,0.7964062,290.109,276.6228,45.75907
7,0.7000005,-1.380871,0.3240375,-0.4349452,-1.173465,3.534477,-2.551579,-1.290928,1.161425,0,0,-0.320182,-1.071227,0.6744232,-0.4861926,4.138146,-0.3794709,-0.1740528,-0.3183786,-0.9221078,-0.7411056,2.010374,-0.1719494,0.07370223,1.24447,0.7980068,289.9763,275.6304,47.0073
7,0.7111117,-1.391573,0.3049193,-0.4315756,-1.171141,3.529221,-2.533684,-1.27752,1.206842,0,0,-0.3447567,-1.069054,0.6628664,-0.4754733,4.11974,-0.3584585,-0.1751671,-0.3056095,-0.9327742,-0.7511978,2.003403,-0.1648529,0.07383917,1.248689,0.7996521,289.8301,274.5471,48.3506
7,0.7222228,-1.391635,0.2911231,-0.4239932,-1.168773,3.523997,-2.516139,-1.263953,1.220801,0,0,-0.3650654,-1.06051,0.6544906,-0.4649554,4.101024,-0.3370478,-0.1867252,-0.2895676,-0.9209844,-0.7606238,1.997092,-0.1578386,0.07404229,1.252756,0.8013598,289.7321,273.5175,49.64012
7,0.7333339,-1.383129,0.272908,-0.4196644,-1.164523,3.519584,-2.499678,-1.249786,1.275469,0,0,-0.3778322,-1.032819,0.6567954,-0.4546171,4.083908,-0.3170605,-0.2068575,-0.2607256,-0.9219272,-0.7704637,1.991997,-0.1513142,0.07433762,1.2566,0.8030776,289.6724,272.7314,50.71917
7,0.7444451,-1.368242,0.24297,-0.4267265,-1.161603,3.514873,-2.483152,-1.235997,1.24032,0,0,-0.4105908,-0.9562564,0.6987924,-0.4435969,4.072731,-0.301358,-0.1767,-0.2267049,-0.8977512,-0.7792639,1.987896,-0.1473639,0.07465239,1.26018,0.8048408,289.6491,272.1496,51.66043
7,0.7555562,-1.368244,0.2151249,-0.4287028,-1.157182,3.511046,-2.466652,-1.222518,1.212194,0,0,-0.41589,-0.9008712,0.7011536,-0.4336617,4.059263,-0.2844706,-0.1987836,-0.2084787,-0.8698865,-0.7877843,1.98361,-0.1414479,0.07488895,1.263436,0.8065324,289.6483,271.8224,52.5209
7,0.7666674,-1.362986,0.1853247,-0.4251508,-1.15432,3.507004,-2.450119,-1.208174,1.291364,0,0,-0.4170484,-0.8379647,0.6853948,-0.4249936,4.047477,-0.2690653,-0.2228149,-0.2051025,-0.818541,-0.7948486,1.979105,-0.1349733,0.07483058,1.266337,0.8081558,289.7952,271.5738,53.26884
7,0.7777785,-1.352433,0.132014,-0.4192781,-1.149942,3.504734,-2.434515,-1.19325,1.343686,0,0,-0.4171327,-0.8059451,0.6684654,-0.416235,4.032714,-0.2510996,-0.2044876,-0.1955472,-0.7984865,-0.8028967,1.974782,-0.1302949,0.07465561,1.268871,0.8096063,289.9771,271.2021,53.79963
7,0.7888896,-1.321715,0.06927776,-0.4035352,-1.146129,3.503015,-2.420107,-1.178598,1.318238,0,0,-0.4257377,-0.7664816,0.6548042,-0.4078583,4.019112,-0.2335829,-0.1817282,-0.182776,-0.7603608,-0.8098289,1.971316,-0.1266461,0.07444576,1.271066,0.8108906,290.2002,270.9391,54.09013
7,0.8000008,-1.27501,0.021477,-0.3804913,-1.142484,3.501662,-2.406735,-1.164147,1.300366,0,0,-0.4226078,-0.719566,0.6410991,-0.3997991,4.006681,-0.2176317,-0.1750835,-0.1838059,-0.734858,-0.8170211,1.967193,-0.1222721,0.07427111,1.273062,0.8121124,290.4515,270.9305,54.04804
7,0.8111119,-1.239999,-0.004953176,-0.356615,-1.139524,3.500082,-2.393384,-1.150481,1.228634,0,0,-0.4067167,-0.6619911,0.62628,-0.3923555,3.996545,-0.2042549,-0.1707007,-0.1816682,-0.7221169,-0.8243719,1.963282,-0.1178443,0.07425079,1.274912,0.8131878,290.7356,270.9485,54.00774
7,0.8222231,-1.184746,-0.01960951,-0.3274473,-1.137503,3.498297,-2.38122,-1.136833,1.227775,0,0,-0.4023852,-0.6215461,0.6391751,-0.3837583,3.985633,-0.1896943,-0.1652449,-0.1891134,-0.7061712,-0.8314325,1.958918,-0.1132754,0.07431163,1.276668,0.8141809,290.9933,270.9697,54.05147
7,0.8333342,-1.12419,-0.02676049,-0.286671,-1.135394,3.4975,-2.37042,-1.122488,1.291487,0,0,-0.4211984,-0.6249337,0.6978857,-0.3728457,3.971193,-0.1708394,-0.1437727,-0.1966319,-0.6850342,-0.8379956,1.954437,-0.1093973,0.0745797,1.278275,0.8149651,291.1829,270.9206,54.16027
7,0.8444453,-1.075273,-0.02658954,-0.2598866,-1.133152,3.496329,-2.359792,-1.10939,1.177154,0,0,-0.476249,-0.6666621,0.7534879,-0.3612647,3.951278,-0.1450523,-0.133082,-0.2019861,-0.6787277,-0.8450562,1.950101,-0.1053938,0.07491188,1.279804,0.8156867,291.3511,271.2878,53.94858
7,0.8555565,-0.924189,-0.04454322,-0.2196825,-1.131311,3.496401,-2.354597,-1.096303,1.177324,0,0,-0.6486495,-0.7519706,0.7841101,-0.3502121,3.921958,-0.1044076,-0.117045,-0.2137432,-0.6671298,-0.8517583,1.945355,-0.1014752,0.07538017,1.281265,0.8161521,291.4764,271.7097,53.74969
7,0.8666676,-0.7996515,-0.08409055,-0.2112727,-1.128317,3.496511,-2.349686,-1.082945,1.202419,0,0,-0.8847653,-0.7462496,0.6758871,-0.3457907,3.898064,-0.06387725,-0.127784,-0.1892546,-0.6873126,-0.8599198,1.942488,-0.09781551,0.07575895,1.282544,0.8164279,291.5229,272.0319,53.83173
7,0.8777788,-0.730399,-0.1087158,-0.2065928,-1.12376,3.496242,-2.343967,-1.074523,0.7513604,0,0,-0.9171062,-0.5691943,0.6127633,-0.3414364,3.898083,-0.05295056,-0.1734879,-0.1262767,-0.7019348,-0.868313,1.942459,-0.09430626,0.0759165,1.283584,0.8164513,291.6094,272.3194,53.92327
