loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0.2777778,-0.1593205,0.8921673,-0.2593112,-1.308813,-0.8727408,-1.397144,-1.321454,0.02826481,0.07201691,-0.08168843,0.1536735,-0.377078,-0.7822876,1.723476,-0.06727646,-0.09462474,-0.130494,-0.8596348,-2.346204,1.577652,-0.7134935,1.190258,-0.3097219,301.4068,212.7483,4.097695
0,0.2888889,-0.1657779,0.9418751,-0.2887113,-1.306279,-0.8859367,-1.391535,-1.321192,0.02387783,0.07629083,-0.09139025,0.1620521,-0.3752564,-0.7867745,1.726727,-0.06635418,-0.09781221,-0.1369135,-0.8613808,-2.347661,1.579219,-0.7169341,1.192066,-0.3072886,301.2122,213.1188,4.361277
0,0.3,-0.1807469,0.9831019,-0.3116388,-1.304287,-0.8992409,-1.38546,-1.321774,-0.0533873,0.08042908,-0.107387,0.1607814,-0.3738524,-0.7923959,1.730887,-0.06161393,-0.09878507,-0.1221395,-0.8621739,-2.349197,1.580687,-0.7205064,1.194045,-0.3046588,300.9355,213.4892,4.783688
0,0.3111111,-0.1913517,1.005139,-0.3385833,-1.301819,-0.9123787,-1.379607,-1.321648,0.01210119,0.07507832,-0.1201925,0.1671002,-0.3721139,-0.7978634,1.735409,-0.0569692,-0.1189518,-0.120112,-0.8634219,-2.351879,1.582876,-0.7241396,1.196156,-0.3019406,300.6273,213.8297,5.331946
0,0.3222222,-0.1966482,1.017705,-0.3557988,-1.2996,-0.9252157,-1.373794,-1.321315,0.03034553,0.07401119,-0.1330546,0.1755035,-0.3702146,-0.8043317,1.740656,-0.05721331,-0.130696,-0.1339367,-0.8654533,-2.354337,1.585107,-0.7279011,1.198344,-0.2991928,300.3282,214.1244,5.852795
0,0.3333333,-0.2083314,1.040833,-0.3795889,-1.296767,-0.9389709,-1.367522,-1.3216,-0.02619477,0.06747493,-0.1521628,0.1743077,-0.3687413,-0.8113597,1.746695,-0.05349682,-0.1381238,-0.1553526,-0.8680701,-2.356577,1.587006,-0.7318256,1.200625,-0.2964724,300.0573,214.478,6.299795
0,0.3444445,-0.2179071,1.054485,-0.3936402,-1.294477,-0.9524146,-1.361069,-1.321723,-0.01098586,0.05999623,-0.1520799,0.1722587,-0.3671812,-0.8162152,1.750844,-0.051567,-0.133838,-0.1596842,-0.8700329,-2.358238,1.588577,-0.7357833,1.202989,-0.2937377,299.7396,214.7526,6.834657
0,0.3555556,-0.2350634,1.090537,-0.4026921,-1.292279,-0.9671621,-1.353659,-1.321644,0.007422126,0.05794282,-0.1489238,0.1776389,-0.3653165,-0.8215277,1.75525,-0.04937448,-0.1274014,-0.1544402,-0.8715365,-2.359589,1.589951,-0.739698,1.205394,-0.2909945,299.3898,214.9966,7.405502
0,0.3666667,-0.2457485,1.097889,-0.4081693,-1.290296,-0.9809014,-1.346512,-1.321492,0.01383836,0.05904993,-0.1393204,0.1755888,-0.363766,-0.8255736,1.758386,-0.05007862,-0.1316608,-0.1448189,-0.872802,-2.361669,1.591954,-0.7435781,1.207812,-0.2882553,299.0535,215.1848,7.995086
0,0.3777778,-0.2563839,1.104147,-0.4168425,-1.287996,-0.9948899,-1.339326,-1.321028,0.04249095,0.0548998,-0.1297475,0.1799904,-0.3618378,-0.8296359,1.761736,-0.04232487,-0.1443189,-0.1418369,-0.8743104,-2.364321,1.593845,-0.7473775,1.210241,-0.2854502,298.7153,215.3677,8.518595
0,0.3888889,-0.2692287,1.113721,-0.4127849,-1.286402,-1.008817,-1.331943,-1.321139,-0.01049435,0.05176538,-0.137292,0.1906077,-0.3595917,-0.8362741,1.767429,-0.0412011,-0.1560254,-0.1461152,-0.8762183,-2.367073,1.59595,-0.7511337,1.212713,-0.2825361,298.4053,215.6315,8.954249
0,0.4,-0.2820951,1.128661,-0.4066238,-1.285399,-1.023199,-1.324297,-1.321366,-0.02047589,0.04976867,-0.1449182,0.2086626,-0.3569813,-0.8434055,1.773661,-0.03837238,-0.1496009,-0.1547422,-0.8783137,-2.368883,1.597428,-0.7549304,1.215241,-0.2796046,298.1169,215.9077,9.436756
0,0.4111111,-0.2971262,1.149978,-0.3984477,-1.284487,-1.037728,-1.316371,-1.321334,0.003160264,0.04974896,-0.1427512,0.2054872,-0.3551751,-0.8487105,1.778101,-0.0374582,-0.1399909,-0.1547947,-0.8801407,-2.370192,1.59865,-0.7588236,1.217824,-0.2767077,297.8279,216.1463,9.972267
0,0.4222222,-0.3270707,1.170218,-0.3892287,-1.284231,-1.052751,-1.307337,-1.32134,-0.0004207402,0.03903872,-0.1351125,0.1950244,-0.3536816,-0.8531356,1.782226,-0.03626351,-0.1335684,-0.1473837,-0.8815425,-2.371753,1.600005,-0.7627602,1.220506,-0.2738541,297.524,216.4619,10.45172
0,0.4333333,-0.3581703,1.184113,-0.3651181,-1.284179,-1.066178,-1.298435,-1.32125,0.008377238,0.04017258,-0.1394783,0.204557,-0.3514755,-0.8596231,1.787827,-0.03093676,-0.1302664,-0.145438,-0.8833237,-2.373095,1.601198,-0.7666299,1.223305,-0.2709815,297.1595,216.788,10.88854
0,0.4444444,-0.3742452,1.186343,-0.3513693,-1.284494,-1.080449,-1.289572,-1.320438,0.07416917,0.04756375,-0.1383923,0.1981069,-0.349737,-0.8649516,1.792118,-0.03178476,-0.1313164,-0.1390474,-0.8851708,-2.374635,1.602519,-0.770414,1.22623,-0.2680397,296.7568,217.0903,11.30669
0,0.4555556,-0.4020621,1.188579,-0.3303274,-1.28478,-1.094313,-1.28016,-1.320254,0.01641477,0.05158007,-0.1403244,0.1756725,-0.3490168,-0.8701282,1.796261,-0.02767436,-0.1323249,-0.1445019,-0.8870041,-2.37647,1.60383,-0.7742058,1.229282,-0.265099,296.3298,217.4478,11.70881
0,0.4666667,-0.4266472,1.184505,-0.3069592,-1.286063,-1.107934,-1.270834,-1.320757,-0.04595812,0.05143568,-0.1444739,0.1649684,-0.3481604,-0.8758476,1.801175,-0.02251792,-0.1247762,-0.1457648,-0.8889834,-2.377608,1.604831,-0.7778773,1.232473,-0.2621613,295.8671,217.7547,12.17125
0,0.4777778,-0.4523544,1.186859,-0.2794257,-1.287873,-1.12178,-1.261075,-1.320379,0.03521082,0.05033563,-0.133706,0.1544352,-0.347109,-0.8799031,1.804469,-0.0183602,-0.1183181,-0.1459062,-0.8906367,-2.378949,1.605718,-0.7814164,1.235748,-0.259299,295.3137,218.0865,12.71191
0,0.4888889,-0.4726434,1.182657,-0.2677634,-1.289333,-1.135787,-1.251099,-1.320564,-0.01713404,0.05985564,-0.1154684,0.1353379,-0.3465018,-0.8822115,1.805549,-0.01845358,-0.1087067,-0.1438151,-0.8925563,-2.37963,1.606472,-0.7848753,1.23904,-0.2567382,294.77,218.4758,13.27063
0,0.5,-0.5003362,1.162501,-0.2516683,-1.291173,-1.148637,-1.240908,-1.32044,0.01172318,0.05133861,-0.1089687,0.1312266,-0.3454748,-0.8858414,1.808662,-0.009590164,-0.1074847,-0.1323682,-0.8936408,-2.381059,1.607132,-0.7883028,1.242359,-0.2545334,294.2625,218.8558,13.65674
0,0.5111111,-0.5280437,1.124465,-0.2161925,-1.293714,-1.160342,-1.230841,-1.320462,-0.002000399,0.04834639,-0.1145113,0.1546399,-0.3433571,-0.8919113,1.813948,0.00453832,-0.1125498,-0.1253652,-0.8952584,-2.382375,1.607754,-0.7916057,1.24573,-0.2526106,293.7526,219.194,13.93076
0,0.5222223,-0.5365996,1.10655,-0.1968488,-1.296176,-1.172566,-1.221204,-1.320156,0.02817796,0.04826878,-0.1273157,0.1566398,-0.3420958,-0.8986943,1.819899,0.01394723,-0.1092156,-0.1299191,-0.8968653,-2.383782,1.608049,-0.7948206,1.249186,-0.2508562,293.2446,219.3567,14.23456
0,0.5333334,-0.5494196,1.082341,-0.1678549,-1.299313,-1.18393,-1.21154,-1.320168,-0.001178768,0.03194456,-0.1483147,0.1374164,-0.341838,-0.9062444,1.827199,0.01805708,-0.1080918,-0.1343119,-0.8985777,-2.385212,1.608598,-0.798062,1.25273,-0.2492618,292.7045,219.5017,14.54914
0,0.5444446,-0.566496,1.058074,-0.1420715,-1.30255,-1.194957,-1.201726,-1.320969,-0.07297322,0.02436352,-0.1524303,0.128932,-0.3411397,-0.9120448,1.832763,0.01992591,-0.1059084,-0.141876,-0.9010294,-2.385926,1.608675,-0.8012955,1.256364,-0.247825,292.1264,219.6878,14.85572
0,0.5555557,-0.5856358,1.022047,-0.1193655,-1.305664,-1.204914,-1.19205,-1.320965,0.001139456,0.01235789,-0.1542091,0.102402,-0.3414274,-0.917255,1.837969,0.02418339,-0.1015768,-0.1398846,-0.9025266,-2.387078,1.608976,-0.8043615,1.260064,-0.2464134,291.5099,219.8031,15.20852
0,0.5666668,-0.5983672,0.999724,-0.1117125,-1.308494,-1.215286,-1.182395,-1.320861,0.009609741,0.01336449,-0.1509422,0.09496243,-0.3411072,-0.9220338,1.842326,0.02100126,-0.09096821,-0.1344696,-0.9037192,-2.387881,1.609162,-0.8072959,1.263793,-0.2450452,290.8817,219.9971,15.5137
0,0.577778,-0.6121666,0.9626279,-0.09109378,-1.311824,-1.224252,-1.172856,-1.320855,0.0005494111,0.004800335,-0.1444046,0.08553332,-0.340777,-0.9270527,1.847089,0.02665253,-0.08446703,-0.1208016,-0.9045832,-2.388731,1.609204,-0.8101009,1.267517,-0.2437505,290.2582,220.1871,15.84262
0,0.5888891,-0.6174936,0.931995,-0.06732589,-1.315475,-1.233186,-1.163583,-1.321137,-0.02564907,-0.005824983,-0.135777,0.08253393,-0.3403179,-0.9311668,1.851368,0.02887446,-0.08125123,-0.1165745,-0.905217,-2.390136,1.609546,-0.8127996,1.271199,-0.2425795,289.6516,220.2572,16.25452
0,0.6000003,-0.623953,0.9153398,-0.03307092,-1.31999,-1.241984,-1.154388,-1.321055,0.007805211,-0.02075817,-0.1227762,0.07216458,-0.3401411,-0.9339839,1.854749,0.0266606,-0.07382649,-0.1154545,-0.9064804,-2.390797,1.60974,-0.8153985,1.274818,-0.2414941,289.0601,220.2241,16.69412
