loc,t,aDotS,bDotS,gDotS,aS,bS,gS
6,1.622225,-1.111374,1.633229,-0.3732158,281.4838,182.1055,53.057
6,1.633336,-1.112425,1.632588,-0.3741088,281.5158,182.0453,53.11182
6,1.644447,-1.113416,1.632016,-0.3749166,281.6304,182.5512,52.55106
6,1.655559,-1.114383,1.631588,-0.3756895,281.7548,183.3396,51.72722
6,1.66667,-1.115396,1.631234,-0.3762103,281.8611,184.4069,50.56717
6,1.677781,-1.116326,1.63082,-0.3766433,281.8431,184.7901,50.09651
6,1.688892,-1.117296,1.630427,-0.3769674,281.7688,184.7548,50.08729
6,1.700003,-1.118244,1.630013,-0.3771675,281.8486,184.2917,50.60038
6,1.711114,-1.119229,1.62976,-0.3772292,282.1991,183.7085,51.35078
6,1.722225,-1.12,1.629462,-0.3774149,282.3931,183.674,51.56945
6,1.733337,-1.120996,1.629003,-0.3776543,282.3716,183.8427,51.50206
6,1.744448,-1.121685,1.628498,-0.3776927,282.189,184.2051,51.21204
6,1.755559,-1.122431,1.627825,-0.377623,282.0078,185.0202,50.45683
6,1.76667,-1.123162,1.627129,-0.3776768,281.864,185.6832,49.81784
6,1.777781,-1.123846,1.626338,-0.3776319,281.7863,186.4094,49.10058
6,1.788892,-1.124602,1.625656,-0.3776295,282.0218,186.5108,49.14291
6,1.800003,-1.125148,1.62491,-0.3777092,282.2049,186.295,49.56024
6,1.811115,-1.125614,1.624038,-0.377739,282.2144,186.2205,49.77216
6,1.822226,-1.126014,1.623156,-0.377923,282.0659,186.3689,49.63747
6,1.833337,-1.126509,1.622131,-0.377983,281.8622,186.6855,49.11743
6,1.844448,-1.127123,1.621181,-0.3779874,281.774,186.9886,48.47953
6,1.855559,-1.127692,1.620225,-0.3780085,281.8984,186.9194,48.43901
6,1.86667,-1.128277,1.619209,-0.3780657,281.9916,186.7528,48.63509
6,1.877781,-1.128781,1.618167,-0.3779727,282.0477,186.6225,48.98567
6,1.888893,-1.129252,1.617175,-0.3780177,282.0305,186.982,48.89522
6,1.900004,-1.129808,1.616264,-0.3780531,281.9467,187.527,48.47009
6,1.911115,-1.130383,1.615454,-0.3780576,281.8748,188.079,47.95516
6,1.922226,-1.131,1.614781,-0.3780402,281.8611,188.6941,47.34224
