loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
5,0.2666667,-1.659473,-0.8750709,-0.4089287,-1.240255,-4.231094,-2.643162,0.2643786,1.251744,0.395653,-1.592022,0.7110041,-1.080858,-1.256045,-4.092926,1.916621,0.1157067,1.195025,0.3168173,-0.0004154976,-0.0009114454,-0.002080605,-0.006809703,-2.194031,0.6206039,2.767327,0.7739629,1.075202,0.0006446752,0.00161088,0.001228566,-0.01330941,-2.356978,-2.970585,2.714915,0.7771422,0.9581648,-0.002825804,1.206354,0.1618909,276.2798,166.4471,79.62814
5,0.2777778,-1.575529,-0.8027138,-0.3907416,-1.231848,-4.230643,-2.618564,0.2578608,1.254187,0.3937016,-1.718922,0.7766136,-0.9028394,-1.24713,-4.088221,1.928735,0.1081588,1.200209,0.3131168,0.0005332498,0.0002485112,-0.000999721,-0.006739395,-2.188788,0.6152751,2.767327,0.7740023,1.075242,0.001576866,0.001552351,-0.0009666107,-0.0131427,-2.365023,-2.962497,2.714911,0.7772135,0.9581552,-0.009332001,1.212847,0.1578442,275.5825,162.2038,84.31612
5,0.2888889,-1.506102,-0.7274674,-0.4733432,-1.224583,-4.230166,-2.593905,0.251187,1.256455,0.391767,-1.819243,0.7944177,-0.7709262,-1.235277,-4.087276,1.941339,0.1003059,1.205601,0.3094916,-0.001522517,-0.001019905,0.002174448,-0.006532734,-2.216231,0.6427038,2.767306,0.77402,1.075283,0.0005015436,0.0005586871,0.0001562814,-0.01317945,-2.361605,-2.965867,2.714907,0.7772382,0.9581611,-0.01625142,1.219161,0.1536503,275.106,158.0851,88.90474
5,0.3,-1.446743,-0.6970817,-0.496568,-1.218385,-4.233126,-2.566961,0.2441028,1.259048,0.3896399,-1.921233,0.8353132,-0.5971439,-1.223796,-4.084314,1.953231,0.09256202,1.210963,0.306004,-0.001577832,4.706928E-05,-0.001022576,-0.006659501,-2.200485,0.6269398,2.767251,0.7739946,1.075255,0.00153343,-0.001654322,0.002215884,-0.01321088,-2.35373,-2.973784,2.714887,0.7771955,0.9581354,-0.02335318,1.225643,0.1494043,274.6641,152.4902,94.41444
5,0.3111111,-1.362542,-0.5883516,-0.4821596,-1.211727,-4.232554,-2.544515,0.2368735,1.261639,0.3873384,-1.928869,0.8225063,-0.5257196,-1.216099,-4.084073,1.964902,0.08455238,1.216314,0.3026545,0.001706737,-0.0006981527,8.9362E-05,-0.006486928,-2.192676,0.618836,2.767465,0.7739487,1.075218,0.001657507,-0.001666408,0.004344349,-0.01332752,-2.353382,-2.974178,2.714924,0.7771851,0.9581242,-0.03031633,1.232411,0.1458446,274.4489,148.4129,98.15603
5,0.3222222,-1.237092,-0.4853104,-0.4691299,-1.205126,-4.232009,-2.522638,0.2296876,1.264273,0.3852153,-1.91512,0.8058902,-0.4949514,-1.20853,-4.083927,1.975735,0.07644048,1.221362,0.2991443,0.001618825,0.0003597055,-0.0009853682,-0.006650446,-2.181223,0.607394,2.767547,0.7738085,1.075026,0.00143293,-0.0005732597,-0.0009772305,-0.01302925,-2.359081,-2.96853,2.714905,0.7772521,0.9580956,-0.03772276,1.238793,0.14173,274.1797,143.0303,102.9589
5,0.3333333,-1.136927,-0.4385563,-0.4667862,-1.199091,-4.2323,-2.500317,0.2225972,1.267162,0.3828213,-1.910865,0.7896671,-0.4371552,-1.20181,-4.085183,1.983014,0.06827098,1.226672,0.2957022,0.002780359,-0.0005993324,-0.0009737373,-0.006686132,-2.178779,0.6048942,2.767546,0.7737972,1.075018,-0.0008252215,-0.001479252,-0.001920139,-0.01297386,-2.358024,-2.969477,2.714903,0.777258,0.9580846,-0.04512626,1.245088,0.1380625,273.9219,135.0887,110.3685
5,0.3444445,-0.9967539,-0.3708905,-0.4790809,-1.194346,-4.235089,-2.475458,0.2156181,1.269865,0.3804493,-1.946687,0.7805593,-0.3468433,-1.195137,-4.087567,1.989267,0.05990374,1.231752,0.2921052,0.0007535047,-0.001858695,6.748077E-05,-0.006632336,-2.194666,0.6207914,2.767459,0.7738684,1.075087,0.0003477448,-0.001571607,0.0001476745,-0.01307452,-2.351448,-2.975971,2.714924,0.7772931,0.9579676,-0.05328313,1.250666,0.134018,273.8449,127.8303,116.8429
5,0.3555556,-0.9049357,-0.3295434,-0.4813837,-1.190283,-4.238706,-2.44947,0.2088568,1.272554,0.3781631,-1.994159,0.7741248,-0.2560652,-1.18808,-4.089384,1.99616,0.05177364,1.236923,0.2884495,-0.001481893,-0.001001362,0.001103466,-0.006587595,-2.192549,0.6187583,2.767458,0.7738464,1.075102,0.001605537,-0.0005962629,0.002213609,-0.01314749,-2.353647,-2.973814,2.714904,0.7772286,0.9579964,-0.06158543,1.255604,0.1294723,274.1098,126.8156,117.5786
5,0.3666667,-0.7763451,-0.264639,-0.4696908,-1.190444,-4.245859,-2.41988,0.2020091,1.275117,0.375602,-2.091692,0.7307881,-0.08652031,-1.18329,-4.092783,2.000581,0.04327598,1.241929,0.2847362,0.0005529047,0.0002751458,6.684255E-05,-0.006559898,-2.174898,0.6011301,2.767406,0.7738961,1.075157,0.003533345,-0.001795122,-4.141039E-05,-0.01301061,-2.353694,-2.973897,2.714952,0.777279,0.9580268,-0.06973602,1.26053,0.1256673,274.454,127.891,116.3997
5,0.3777778,-0.6283857,-0.2079889,-0.4382184,-1.188445,-4.250411,-2.392794,0.1952546,1.277766,0.3730347,-2.128198,0.7081735,-0.01586288,-1.179767,-4.095543,2.003321,0.03485999,1.246997,0.2809312,0.002582255,0.001538154,-0.0009706337,-0.006233927,-2.07219,0.4976966,2.767397,0.7739046,1.075148,0.001440386,0.0004924219,-0.002042769,-0.01291846,-2.360596,-2.96694,2.714946,0.7772241,0.9580674,-0.07842433,1.264877,0.1217187,275.0184,132.3567,112.0143
5,0.3888889,-0.4779741,-0.2046348,-0.4120008,-1.1868,-4.254686,-2.365187,0.1881546,1.28056,0.3703854,-2.167426,0.687389,0.02620539,-1.175381,-4.096649,2.003557,0.02644196,1.251875,0.2765839,0.001481832,0.001418614,0.001145095,-0.006605172,-2.180121,0.6064098,2.767344,0.7738967,1.075103,0.0003548593,-0.001573017,0.0001392508,-0.01294616,-2.350252,-2.977279,2.71491,0.7772677,0.9580872,-0.08729188,1.2692,0.1173795,275.1313,132.6943,111.5045
5,0.4,-0.3364885,-0.2179517,-0.3906424,-1.182592,-4.255473,-2.340845,0.1812781,1.283425,0.367553,-2.150723,0.6801414,-0.01986578,-1.171108,-4.097336,2.002057,0.01799381,1.256579,0.272439,-0.0005223851,0.0001576098,5.149757E-05,-0.006632336,-2.177962,0.6042257,2.767383,0.773885,1.075175,0.002664246,-0.0006720787,0.002152154,-0.01312938,-2.351034,-2.97647,2.714973,0.7772261,0.9580239,-0.09617704,1.273472,0.1139056,274.5712,128.6788,115.2328
5,0.4111111,-0.2500895,-0.2259288,-0.3765964,-1.178221,-4.255906,-2.317765,0.1742359,1.286255,0.364723,-2.115244,0.6692863,-0.06752738,-1.166481,-4.098245,2.00212,0.0098463,1.26145,0.2686508,0.001709747,-0.0007076232,-0.0009911314,-0.006800648,-2.185251,0.6114612,2.767414,0.7738502,1.075169,0.0004959719,0.0005534174,0.0001495378,-0.01306547,-2.356025,-2.971402,2.714977,0.7772305,0.9580127,-0.1048916,1.277858,0.1105926,274.0844,125.2446,118.5153
