loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.2777778,-0.7337566,-0.176373,-0.03707622,-1.284903,-5.352937,-2.689406,-1.173602,-0.02928039,-0.07181856,-0.1549099,0.2757849,-0.5310077,-4.657066,-0.4818639,-0.04117704,-0.122999,-0.1085304,-0.8903337,-0.560803,-0.04465988,-0.6725373,1.161032,-0.332165,296.148,193.4724,11.25543
3,0.2888889,-0.8200956,-0.1776797,-0.05924842,-1.282809,-5.351722,-2.677929,-1.173949,-0.03107245,-0.07386342,-0.167722,0.2949646,-0.5263573,-4.657643,-0.480446,-0.05520763,-0.1431761,-0.1340486,-0.8926165,-0.5638573,-0.04165211,-0.6731965,1.164429,-0.3345114,295.8094,192.7394,11.83462
3,0.3,-0.8776418,-0.1853003,-0.07399157,-1.280704,-5.350087,-2.66698,-1.17151,0.2237177,-0.07379821,-0.1847792,0.3130578,-0.5215588,-4.658239,-0.4791615,-0.05419058,-0.1548714,-0.1415443,-0.8942384,-0.5665547,-0.03936552,-0.6739485,1.168264,-0.3370076,295.3394,191.8791,12.56133
3,0.3111111,-0.9586251,-0.1993612,-0.09185112,-1.278042,-5.348386,-2.654087,-1.171903,-0.03733045,-0.1001932,-0.2294961,0.371776,-0.5141861,-4.659876,-0.4757388,-0.04996419,-0.1718929,-0.1480203,-0.8960088,-0.5698808,-0.03687919,-0.6749197,1.172564,-0.339792,294.8909,190.9104,13.36403
3,0.3222222,-1.012974,-0.21233,-0.110836,-1.275125,-5.346642,-2.641675,-1.173147,-0.1127453,-0.1149782,-0.2550482,0.4027513,-0.5075564,-4.661201,-0.4729441,-0.05323534,-0.172937,-0.1575864,-0.8979918,-0.5724617,-0.03457076,-0.6759809,1.177384,-0.3427466,294.3649,189.7627,14.37447
3,0.3333333,-1.092912,-0.2275057,-0.1382863,-1.271384,-5.345152,-2.627046,-1.172028,0.1037607,-0.1350051,-0.2923223,0.4539777,-0.4993352,-4.663209,-0.4689624,-0.05967578,-0.1835735,-0.165025,-0.9000366,-0.5756587,-0.0316767,-0.6769955,1.182629,-0.3457467,293.7022,188.4126,15.59833
3,0.3444445,-1.174984,-0.2533601,-0.1710087,-1.266976,-5.343415,-2.611968,-1.17306,-0.09473355,-0.1442391,-0.2955485,0.5083664,-0.4914027,-4.662396,-0.4677496,-0.06511255,-0.2048349,-0.1810267,-0.9024771,-0.5794775,-0.02830567,-0.6779398,1.188249,-0.3488371,293.0499,186.9132,16.95978
3,0.3555556,-1.265552,-0.2781301,-0.1962477,-1.26249,-5.341475,-2.595747,-1.171768,0.1195321,-0.1545567,-0.2827773,0.5510642,-0.4836577,-4.660138,-0.4677134,-0.07151793,-0.2303951,-0.1853205,-0.9046231,-0.583761,-0.02462039,-0.6787924,1.194144,-0.3520072,292.3616,185.1362,18.56446
3,0.3666667,-1.346544,-0.2900586,-0.2141032,-1.258257,-5.33989,-2.578734,-1.171845,-0.007637581,-0.1821795,-0.3072185,0.5746674,-0.475337,-4.661632,-0.4634483,-0.07366093,-0.2442364,-0.188541,-0.9067259,-0.587815,-0.02123498,-0.679635,1.200308,-0.3553936,291.7704,183.2209,20.28481
3,0.3777778,-1.414743,-0.2944788,-0.2245843,-1.254067,-5.338477,-2.561442,-1.171473,0.03474103,-0.2301459,-0.3613949,0.5994294,-0.4660676,-4.665876,-0.4554551,-0.08229801,-0.2495281,-0.2034054,-0.9094045,-0.5915701,-0.01770043,-0.6804439,1.206745,-0.3589699,291.1998,181.0004,22.27255
3,0.3888889,-1.470148,-0.3031248,-0.2329471,-1.249671,-5.336987,-2.543902,-1.171568,-0.008327569,-0.2512527,-0.4082632,0.6527885,-0.4553739,-4.669359,-0.4489149,-0.09741122,-0.2505308,-0.2288579,-0.9127415,-0.5951881,-0.01392008,-0.6812183,1.213464,-0.362742,290.6326,178.6597,24.35499
3,0.4,-1.505327,-0.3000253,-0.2414085,-1.245441,-5.335952,-2.52662,-1.17217,-0.05436733,-0.2489879,-0.432817,0.6847016,-0.4453881,-4.672305,-0.4437609,-0.1049695,-0.2483726,-0.2415716,-0.9156758,-0.5986295,-0.01041962,-0.6819152,1.220532,-0.3666723,290.0858,176.2669,26.49458
3,0.4111111,-1.567137,-0.2958813,-0.2487742,-1.241085,-5.335235,-2.507536,-1.17272,-0.0492623,-0.2604698,-0.4317512,0.7188715,-0.4351195,-4.67335,-0.4395521,-0.1072002,-0.2483363,-0.254338,-0.9189248,-0.6021245,-0.007026751,-0.6824712,1.227957,-0.3706833,289.5244,173.6718,28.85679
