loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,emg,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.2777778,-0.2578,0.002588946,-0.2814655,-1.176879,-1.180434,-0.7354223,-0.6246327,0.09813955,5.103148,-0.04458855,-0.2034861,0.09038272,-0.3881552,-1.091411,1.317159,-0.005758874,-0.06845781,-0.07948001,-0.9902261,-3.097925,1.701633,-0.7493607,1.151348,0.05683565,306.0205,222.8687,15.6956
3,0.2888889,-0.3026468,0.01496311,-0.2900304,-1.175022,-1.183663,-0.7297258,-0.6249736,-0.03190237,5.103148,-0.09246801,-0.2589343,0.1074213,-0.3855778,-1.1018,1.329072,-0.005802833,-0.07484159,-0.08163401,-0.9913201,-3.098977,1.702271,-0.7501819,1.153118,0.05730213,305.9214,222.6274,16.02219
3,0.3,-0.3346225,0.0157018,-0.2995948,-1.172696,-1.186665,-0.7239622,-0.6246034,0.03431277,5.103148,-0.1073254,-0.2664353,0.1212945,-0.3831868,-1.108616,1.336927,-0.008975446,-0.07483625,-0.07840985,-0.9921767,-3.099762,1.702947,-0.7511926,1.155217,0.05776436,305.7662,222.4084,16.38723
3,0.3111111,-0.3910731,0.003389157,-0.3260786,-1.170049,-1.190267,-0.7158225,-0.6240963,0.04619419,5.103148,-0.1495988,-0.2656702,0.2141332,-0.3776341,-1.113223,1.344077,-0.007847339,-0.0802053,-0.06778604,-0.9927178,-3.10085,1.703647,-0.7523153,1.15764,0.05821202,305.5578,222.2378,16.76319
3,0.3222222,-0.4623408,-0.01333579,-0.3525377,-1.16646,-1.193767,-0.7075002,-0.624115,-0.001941637,4.885993,-0.1823355,-0.2691066,0.2898708,-0.3721043,-1.117847,1.350942,-0.01005207,-0.08977097,-0.07205719,-0.9937032,-3.102243,1.704561,-0.7535976,1.160392,0.05855004,305.3694,222.0945,17.1674
3,0.3333333,-0.5185646,-0.04585454,-0.3682428,-1.162431,-1.196429,-0.6991724,-0.6222801,0.1680484,4.885993,-0.2024487,-0.2851997,0.3250467,-0.3668659,-1.124909,1.360328,-0.0102742,-0.1067483,-0.09022881,-0.9954166,-3.103964,1.705617,-0.7550099,1.16347,0.05873382,305.1543,221.7804,17.69876
3,0.3444445,-0.5609826,-0.07074219,-0.3744289,-1.158472,-1.19902,-0.6910216,-0.622263,0.0003916994,4.885993,-0.2310755,-0.3012995,0.359193,-0.3613622,-1.132943,1.370972,-0.01378322,-0.1247324,-0.119028,-0.9976995,-3.105724,1.706794,-0.7565041,1.166916,0.05880024,304.9141,221.3537,18.25712
3,0.3555556,-0.6087443,-0.09129069,-0.3635903,-1.154912,-1.201156,-0.6822821,-0.6224175,-0.0136667,4.885993,-0.2385093,-0.3236964,0.3666034,-0.3565355,-1.142334,1.38254,-0.01494393,-0.1332228,-0.1265081,-0.9995205,-3.107466,1.707915,-0.7581663,1.170768,0.0587091,304.6765,220.8153,18.91721
3,0.3666667,-0.6640429,-0.102309,-0.3528076,-1.151538,-1.203287,-0.6726809,-0.6230209,-0.05477871,4.885993,-0.2459494,-0.3631294,0.3718282,-0.3514632,-1.154431,1.396775,-0.01291542,-0.1278607,-0.1403506,-1.001495,-3.108755,1.708807,-0.760013,1.175009,0.05842336,304.3794,220.1325,19.73639
3,0.3777778,-0.6991585,-0.1057156,-0.3420953,-1.148396,-1.205446,-0.6632736,-0.6227259,0.0277472,4.017372,-0.2416639,-0.3855276,0.3823797,-0.3464171,-1.166157,1.410477,-0.01819877,-0.1150539,-0.1423891,-1.003207,-3.109684,1.70952,-0.7619088,1.179554,0.05795821,303.951,219.3432,20.67249
3,0.3888889,-0.7458061,-0.1315677,-0.3290925,-1.144665,-1.206967,-0.6533256,-0.6222412,0.04431684,4.017372,-0.2426993,-0.4047305,0.3908433,-0.3411089,-1.178897,1.425167,-0.02890116,-0.1053837,-0.1529171,-1.005298,-3.110413,1.710519,-0.7637714,1.184317,0.05728816,303.4789,218.5518,21.60578
3,0.4,-0.7862102,-0.1380842,-0.3002439,-1.141778,-1.208127,-0.6430618,-0.6228346,-0.05426284,4.017372,-0.262868,-0.3973429,0.4090722,-0.3352563,-1.189385,1.438487,-0.04605035,-0.1042001,-0.1666165,-1.007625,-3.111463,1.711931,-0.7655549,1.189227,0.05639224,303.0092,217.7272,22.52888
3,0.4111111,-0.8095489,-0.1477126,-0.278849,-1.138757,-1.209093,-0.6330403,-0.6225342,0.02826485,4.017372,-0.2946762,-0.3410192,0.450916,-0.3290069,-1.194069,1.447086,-0.05669886,-0.1020222,-0.1675863,-1.009659,-3.112429,1.713269,-0.7672313,1.19421,0.05528375,302.5343,216.8026,23.48507
3,0.4222222,-0.8318401,-0.1529746,-0.24257,-1.136278,-1.209423,-0.6232165,-0.6224542,0.007297799,4.56026,-0.3168616,-0.2964394,0.5012121,-0.3219432,-1.197976,1.454897,-0.05765978,-0.09886699,-0.156915,-1.011271,-3.113483,1.71442,-0.7688676,1.199188,0.05394471,302.0993,215.8079,24.46222
3,0.4333333,-0.8457257,-0.1463684,-0.1946536,-1.134598,-1.209357,-0.6131161,-0.6230332,-0.05267619,4.56026,-0.3274167,-0.2848134,0.5268543,-0.3152464,-1.20563,1.465954,-0.05551416,-0.09354482,-0.15798,-1.013178,-3.114244,1.715336,-0.7704234,1.20414,0.05237241,301.6817,214.8446,25.38286
3,0.4444444,-0.8691166,-0.1441497,-0.1541683,-1.132911,-1.208984,-0.603321,-0.6234093,-0.03363391,4.56026,-0.3529172,-0.2816758,0.5450678,-0.30841,-1.213264,1.477854,-0.05876774,-0.08177543,-0.1696209,-1.015361,-3.11467,1.716422,-0.7718616,1.20904,0.05057989,301.2723,213.8535,26.29856
3,0.4555556,-0.8935524,-0.1483846,-0.1210906,-1.131109,-1.208371,-0.5929981,-0.6233379,0.007021947,4.56026,-0.3794282,-0.2913481,0.57496,-0.3011572,-1.222633,1.491509,-0.06412154,-0.05612688,-0.1854585,-1.017755,-3.114268,1.71701,-0.7730859,1.213877,0.0485867,300.8885,212.9295,27.12234
3,0.4666667,-0.9125767,-0.1664955,-0.09443071,-1.127795,-1.207947,-0.5824642,-0.6238151,-0.04350368,4.56026,-0.3921313,-0.3148572,0.5973011,-0.2937003,-1.234784,1.507779,-0.0490768,-0.02849809,-0.1833515,-1.019649,-3.11349,1.716776,-0.7741205,1.21867,0.04635696,300.5249,212.0522,27.87386
3,0.4777778,-0.9263025,-0.1803676,-0.08154012,-1.125484,-1.207087,-0.5721934,-0.6235355,0.02613526,5.754614,-0.4102426,-0.3393661,0.5972892,-0.2868416,-1.249339,1.526684,-0.03825551,-0.001939915,-0.1790758,-1.021312,-3.112839,1.716231,-0.77526,1.22332,0.04380517,300.1233,211.0343,28.70803
3,0.4888889,-0.9516246,-0.2092166,-0.06427636,-1.122737,-1.205456,-0.5616426,-0.6236601,-0.01142787,5.754614,-0.4443951,-0.3531575,0.580324,-0.2807249,-1.26414,1.546777,-0.03947702,0.001335081,-0.199295,-1.023988,-3.112257,1.71639,-0.7763951,1.227854,0.04097009,299.7578,209.9778,29.6052
3,0.5,-0.9887083,-0.230683,-0.0427857,-1.120122,-1.203629,-0.5507327,-0.6240367,-0.03407349,5.754614,-0.4690138,-0.3424112,0.5452961,-0.2755423,-1.277318,1.565122,-0.049263,-0.00068032,-0.2205256,-1.026981,-3.111933,1.717229,-0.7774618,1.232263,0.03785533,299.4689,208.778,30.61697
3,0.5111111,-1.005708,-0.232755,-0.01399168,-1.118219,-1.201532,-0.5400145,-0.6237278,0.02868139,5.754614,-0.4904968,-0.3315934,0.4995935,-0.2712632,-1.289362,1.582751,-0.0546065,-0.007054307,-0.219439,-1.0294,-3.111825,1.717935,-0.7783904,1.236649,0.03461182,299.2424,207.6008,31.40017
3,0.5222223,-1.034519,-0.221004,0.0222389,-1.117646,-1.198756,-0.5290444,-0.6235185,0.01902252,5.754614,-0.5225064,-0.3347422,0.4858514,-0.2663406,-1.304063,1.603533,-0.06630093,-0.007035315,-0.2150861,-1.031671,-3.111721,1.719078,-0.779254,1.241092,0.03128522,299.0527,206.4711,32.10873
3,0.5333334,-1.0633,-0.2146311,0.05311812,-1.116469,-1.196205,-0.5176226,-0.623861,-0.03120205,5.754614,-0.5576425,-0.3421982,0.4901964,-0.2611528,-1.319962,1.625856,-0.07587163,0.0004671142,-0.2171126,-1.034162,-3.111077,1.719804,-0.7800548,1.245693,0.0279051,298.86,205.3571,32.85391
3,0.5444446,-1.096305,-0.2148673,0.05636324,-1.114869,-1.194189,-0.5056912,-0.623634,0.02118498,5.754614,-0.6224884,-0.3369902,0.5277363,-0.2545513,-1.335954,1.650042,-0.08023243,0.01760364,-0.2372543,-1.037189,-3.109785,1.720172,-0.7808756,1.250498,0.02446631,298.6058,204.201,33.61468
3,0.5555557,-1.129299,-0.2182883,0.06064112,-1.112848,-1.192588,-0.4930678,-0.6235381,0.00879083,5.754614,-0.6820439,-0.3040195,0.5461875,-0.2481619,-1.348027,1.67047,-0.09310344,0.04544069,-0.2615437,-1.040471,-3.107873,1.720486,-0.7818177,1.255553,0.02098468,298.2653,203.0506,34.35582
3,0.5666668,-1.1452,-0.226865,0.07136714,-1.11095,-1.190145,-0.4810883,-0.6235563,-0.001508325,5.754614,-0.7182601,-0.3104131,0.5473648,-0.2424925,-1.365453,1.696262,-0.1005488,0.06574273,-0.2699291,-1.04345,-3.105857,1.720777,-0.7828386,1.260844,0.01742384,297.8889,201.7697,35.3527
3,0.577778,-1.153651,-0.2354492,0.07357289,-1.108814,-1.187792,-0.4691222,-0.6233581,0.018404,9.663409,-0.7566674,-0.3615175,0.5345517,-0.2377361,-1.391968,1.731314,-0.1155387,0.09571616,-0.2941912,-1.046987,-3.103253,1.721058,-0.7838992,1.266367,0.01380117,297.5308,200.3245,36.54193
3,0.5888891,-1.159761,-0.271754,0.06849681,-1.105563,-1.185158,-0.4573457,-0.6239078,-0.05021536,9.663409,-0.7747903,-0.382812,0.5313528,-0.2329094,-1.416608,1.764274,-0.1378358,0.1224547,-0.2981671,-1.050049,-3.100248,1.72169,-0.7849475,1.272114,0.01010663,297.1817,198.7838,37.85239
3,0.6000003,-1.172301,-0.3039314,0.05166288,-1.101745,-1.1831,-0.4450792,-0.6242865,-0.03398916,9.663409,-0.8056853,-0.397712,0.5250424,-0.2282292,-1.442607,1.799032,-0.1642135,0.1363313,-0.2765808,-1.052094,-3.097854,1.722698,-0.7859429,1.278031,0.006336373,296.8025,197.0909,39.28281
3,0.6111114,-1.184943,-0.3221634,0.0486019,-1.098239,-1.18069,-0.4326465,-0.624597,-0.02800949,9.663409,-0.8366433,-0.3603663,0.5071681,-0.2239718,-1.461143,1.827312,-0.1820563,0.1469594,-0.2497588,-1.053822,-3.095303,1.723932,-0.7868167,1.284024,0.002527914,296.4282,195.2248,40.83368
3,0.6222225,-1.19245,-0.3169604,0.03789122,-1.09522,-1.179293,-0.4198591,-0.6245741,0.002464237,9.663409,-0.8622366,-0.2921745,0.498967,-0.2190951,-1.472723,1.848987,-0.202783,0.162804,-0.1888049,-1.05392,-3.092653,1.725361,-0.7876887,1.290026,-0.001311347,296.1469,193.2188,42.45508
3,0.6333337,-1.194746,-0.2978745,0.02817696,-1.092696,-1.17793,-0.4072229,-0.6244181,0.01437915,9.337676,-0.8779446,-0.1794955,0.5707629,-0.2107541,-1.478076,1.864218,-0.2260241,0.1798885,-0.1736326,-1.054952,-3.089599,1.726959,-0.7886095,1.296009,-0.00513011,295.9418,191.2038,44.06647
3,0.6444448,-1.198123,-0.2735561,0.01107214,-1.090439,-1.176487,-0.3948472,-0.6246844,-0.02433783,9.337676,-0.8960106,-0.1614233,0.5826069,-0.2047103,-1.494054,1.89028,-0.2569025,0.2184409,-0.1977422,-1.057481,-3.085493,1.727673,-0.7896081,1.301985,-0.008896217,295.7621,189.3239,45.55671
3,0.655556,-1.202613,-0.2481966,-0.01466243,-1.088137,-1.176461,-0.3813039,-0.6250402,-0.03221652,9.337676,-0.9257241,-0.1583424,0.6167917,-0.1985451,-1.516434,1.92332,-0.2815864,0.2410375,-0.2304735,-1.060248,-3.081159,1.729285,-0.7907303,1.307999,-0.01257746,295.5937,187.5815,46.92558
3,0.6666671,-1.212423,-0.225082,-0.05102915,-1.085833,-1.177275,-0.3672126,-0.6254168,-0.03409984,9.337676,-0.9426996,-0.1818411,0.6359525,-0.1923607,-1.543332,1.960652,-0.3085246,0.2508869,-0.271761,-1.063791,-3.076982,1.731339,-0.7919297,1.314085,-0.01612826,295.4067,185.9162,48.29399
3,0.6777782,-1.206234,-0.2005729,-0.05438218,-1.083853,-1.177022,-0.3540033,-0.625038,0.03496518,9.229098,-0.962975,-0.200991,0.6285027,-0.1873204,-1.571284,1.99935,-0.3236114,0.2456888,-0.2897661,-1.067005,-3.073408,1.733566,-0.7931654,1.320225,-0.01958232,295.214,184.2462,49.75098
3,0.6888894,-1.207443,-0.1835941,-0.06195302,-1.081935,-1.177231,-0.3405405,-0.6249448,0.008297034,9.229098,-0.9789013,-0.2298021,0.6433806,-0.1820068,-1.605595,2.044369,-0.3501978,0.2564452,-0.2916366,-1.069685,-3.069662,1.736117,-0.7944984,1.326493,-0.02291843,295.0918,182.6043,51.12223
3,0.7000005,-1.212824,-0.1762771,-0.07585534,-1.079848,-1.177836,-0.3268796,-0.6254364,-0.0449145,9.229098,-0.976667,-0.2554361,0.6709737,-0.1765607,-1.642676,2.091468,-0.365922,0.2788137,-0.2711808,-1.071418,-3.064886,1.738261,-0.7958809,1.33297,-0.02606551,294.9821,180.9597,52.523
3,0.7111117,-1.222513,-0.1669355,-0.1004115,-1.077667,-1.179059,-0.3124325,-0.6255376,-0.008783581,9.229098,-1.003326,-0.2820522,0.6624676,-0.1724573,-1.683171,2.143052,-0.3870157,0.293746,-0.2528389,-1.073144,-3.0604,1.740909,-0.7971951,1.339647,-0.02904287,294.8201,179.2962,54.06387
3,0.7222228,-1.231099,-0.1607285,-0.1217664,-1.075671,-1.180713,-0.2978772,-0.6255915,-0.004850283,9.229098,-1.021269,-0.2310644,0.7074438,-0.1658244,-1.719418,2.19061,-0.4028361,0.3065307,-0.2388064,-1.074775,-3.055952,1.743726,-0.7985628,1.346538,-0.0319917,294.6712,177.6028,55.66612
3,0.7333339,-1.232132,-0.1672476,-0.1387659,-1.073156,-1.18215,-0.2835009,-0.6251696,0.03866389,9.663409,-1.014812,-0.2055322,0.7255926,-0.1600437,-1.756536,2.238211,-0.4197319,0.3161373,-0.2247787,-1.076191,-3.051293,1.746705,-0.7999674,1.353627,-0.03491285,294.5505,175.7505,57.38965
3,0.7444451,-1.238613,-0.1556298,-0.1484482,-1.071328,-1.183955,-0.2689665,-0.6253049,-0.01267035,9.663409,-0.9988083,-0.1959661,0.7319573,-0.1548165,-1.799379,2.2912,-0.4239935,0.3225581,-0.2279153,-1.078072,-3.046566,1.749294,-0.8014578,1.360914,-0.03783331,294.4449,173.7836,59.22104
3,0.7555562,-1.235743,-0.1140946,-0.1529897,-1.070693,-1.185882,-0.2544475,-0.6254892,-0.01660738,9.663409,-0.9635757,-0.2194596,0.7551794,-0.1504867,-1.853863,2.354936,-0.4348596,0.328034,-0.255497,-1.08088,-3.041604,1.752064,-0.8029771,1.368351,-0.04071391,294.3411,171.6618,61.21604
3,0.7666674,-1.216961,-0.06496266,-0.1565358,-1.070739,-1.188023,-0.240395,-0.6255946,-0.009478002,9.663409,-0.9604805,-0.2715721,0.7283649,-0.1485074,-1.910357,2.421363,-0.4510374,0.3228515,-0.2766885,-1.08381,-3.036999,1.755344,-0.8043987,1.375854,-0.04349949,294.2643,169.5002,63.26887
3,0.7777785,-1.230098,-0.02153534,-0.1759876,-1.070854,-1.190869,-0.2252661,-0.625731,-0.01233137,10.96634,-0.9807742,-0.3034875,0.7144759,-0.1470725,-1.96747,2.489371,-0.4627786,0.3175732,-0.2766118,-1.086123,-3.032613,1.758728,-0.8057212,1.383396,-0.04620299,294.1809,167.4293,65.23712
3,0.7888896,-1.274302,0.0452773,-0.1689372,-1.072738,-1.193352,-0.2088318,-0.6263323,-0.05491049,10.96634,-0.9976935,-0.2929454,0.7486622,-0.1441905,-2.031122,2.56388,-0.4702134,0.3207952,-0.2754726,-1.088408,-3.027987,1.761976,-0.8069527,1.390944,-0.04883504,294.0519,165.4062,67.16026
3,0.8000008,-1.307696,0.08869573,-0.1713215,-1.074422,-1.196032,-0.1915468,-0.6256602,0.06191887,10.96634,-0.9689442,-0.2684354,0.7496697,-0.1416892,-2.088639,2.630972,-0.4731773,0.3388539,-0.2562239,-1.090132,-3.022557,1.764903,-0.8081379,1.398467,-0.0514121,293.9213,163.3866,69.07523
3,0.8111119,-1.307768,0.09718907,-0.1756402,-1.075333,-1.198586,-0.1759913,-0.624164,0.1362918,10.96634,-0.9659076,-0.3119699,0.7079643,-0.1427769,-2.144834,2.697133,-0.4792157,0.3568619,-0.2220187,-1.090867,-3.017407,1.767953,-0.8093131,1.405986,-0.05393723,293.8223,161.4882,70.86031
3,0.8222231,-1.259796,0.09102556,-0.1958753,-1.075467,-1.20155,-0.1621199,-0.6234465,0.06463141,10.96634,-0.9681597,-0.3310366,0.6748852,-0.1439955,-2.199199,2.761709,-0.4952605,0.3537545,-0.228289,-1.09271,-3.012572,1.771607,-0.8104722,1.413603,-0.05644454,293.6844,159.7484,72.4973
3,0.8333342,-1.233043,0.0740729,-0.210696,-1.075289,-1.204464,-0.1477309,-0.625282,-0.1681238,11.07492,-0.9681408,-0.313992,0.6791939,-0.1440381,-2.255723,2.82834,-0.5006594,0.362343,-0.2409954,-1.094889,-3.007251,1.774821,-0.8115527,1.421416,-0.05896382,293.5898,157.9636,74.20432
