loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotE,bDotE,gDotE,aE,bE,gE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
7,0.4444444,-1.081578,0.2678926,-0.6862113,-1.1137,3.397543,-2.747812,-1.78403,0.8349123,0.2986503,-1.131818,3.538007,1.795713,-0.3600121,-0.2277162,0.4233913,-0.3731717,3.618433,-0.2468598,-0.1383653,0.006733969,-0.1102175,-0.8881062,1.63195,-0.04764315,0.1728699,1.26316,0.7459236,276.4075,329.408,11.58796
7,0.4555556,-1.119931,0.265734,-0.6852831,-1.10789,3.391293,-2.731149,-1.813948,0.8540524,0.2903724,-1.122685,3.532273,1.819356,-0.3911537,-0.184197,0.4899327,-0.365179,3.623398,-0.2458034,-0.1426,0.01099712,-0.1091163,-0.8893104,1.631951,-0.04592355,0.1712858,1.272018,0.7488004,275.6473,330.4801,10.23477
7,0.4666667,-1.174267,0.2731424,-0.6844962,-1.102413,3.384522,-2.713167,-1.824655,0.8636286,0.2851359,-1.113846,3.526248,1.842646,-0.4276395,-0.1427857,0.5554536,-0.3566489,3.629933,-0.2456529,-0.1596034,0.01317132,-0.09840298,-0.8900369,1.63214,-0.04357091,0.1693053,1.280681,0.75173,274.9192,332.0953,8.383833
7,0.4777778,-1.224317,0.2751691,-0.6900421,-1.096585,3.377658,-2.694587,-1.8353,0.8625689,0.2831098,-1.105536,3.519933,1.865978,-0.4609158,-0.09818792,0.6209527,-0.3477076,3.639329,-0.2481664,-0.1807795,0.02599083,-0.08228752,-0.8903352,1.633036,-0.04131522,0.1672014,1.289362,0.7544959,274.2778,331.4986,8.825036
7,0.4888889,-1.26269,0.2804911,-0.6859788,-1.091418,3.370602,-2.675779,-1.836309,0.8508483,0.2884422,-1.098041,3.513254,1.889318,-0.4849632,-0.06627566,0.6543511,-0.3395706,3.647525,-0.2497571,-0.1903063,0.03455089,-0.07901702,-0.8911374,1.633848,-0.03931172,0.1651927,1.297909,0.7574971,273.4746,335.1295,4.742439
7,0.5,-1.322424,0.294398,-0.6703554,-1.087219,3.363325,-2.655478,-1.832993,0.8444647,0.3012277,-1.090632,3.505615,1.91283,-0.52309,-0.03956234,0.6676263,-0.3320408,3.655331,-0.2498005,-0.1860691,0.03239727,-0.08224443,-0.8922916,1.633879,-0.03744831,0.1631514,1.306533,0.7604591,272.7074,336.4013,3.058182
7,0.5111111,-1.414138,0.3370192,-0.6561863,-1.083729,3.354314,-2.632136,-1.80633,0.8253205,0.3020696,-1.083936,3.49874,1.934953,-0.5359648,-0.03520989,0.6560456,-0.325735,3.659099,-0.2471725,-0.179688,0.03128457,-0.08227377,-0.8932706,1.634092,-0.03581685,0.160831,1.315183,0.7635967,272.1541,324.5182,14.73926
7,0.5222223,-1.445067,0.3306693,-0.6456073,-1.079504,3.347298,-2.611835,-1.777514,0.8104422,0.3060952,-1.077352,3.491467,1.95691,-0.5570911,-0.05333787,0.6806878,-0.3172965,3.661654,-0.2425911,-0.1861296,0.02708565,-0.08760807,-0.8944626,1.634034,-0.03336674,0.1589606,1.323897,0.7664341,271.8735,306.4668,32.7904
7,0.5333334,-1.473862,0.317942,-0.6339107,-1.075273,3.340678,-2.591342,-1.765913,0.8125662,0.291103,-1.070435,3.484747,1.979359,-0.5684546,-0.06412846,0.7191168,-0.3077059,3.664417,-0.2386488,-0.1957029,0.03250057,-0.09287671,-0.8957446,1.634675,-0.03113076,0.1565217,1.332626,0.7692116,272.164,286.2544,53.22979
7,0.5444446,-1.499416,0.3093836,-0.6350066,-1.070985,3.333478,-2.570355,-1.754277,0.8221699,0.2824874,-1.062945,3.47747,2.00186,-0.5888398,-0.09812427,0.7159851,-0.2996759,3.662594,-0.2298422,-0.2105323,0.04751755,-0.09594572,-0.8969963,1.635954,-0.02897519,0.1540994,1.341187,0.7720554,272.4116,274.6293,64.91243
7,0.5555557,-1.520671,0.3050016,-0.6467737,-1.066393,3.325683,-2.548979,-1.73626,0.8264549,0.2716869,-1.055666,3.470296,2.023823,-0.6114439,-0.1299516,0.7043623,-0.2919229,3.659276,-0.2190551,-0.2084066,0.05290143,-0.1087061,-0.8987753,1.636889,-0.02734161,0.1515988,1.349685,0.7748529,272.4032,264.7668,74.61039
7,0.5666668,-1.552592,0.2899737,-0.6531855,-1.061452,3.318442,-2.527097,-1.695913,0.8350281,0.2564425,-1.048117,3.463172,2.044478,-0.6606411,-0.1776992,0.7004002,-0.2837934,3.651551,-0.202658,-0.2223277,0.06068394,-0.1501628,-0.9021815,1.637886,-0.02498658,0.1490855,1.358105,0.7776757,272.328,253.2261,85.9298
7,0.577778,-1.579246,0.2792947,-0.6500015,-1.057354,3.311392,-2.505018,-1.650199,0.8339953,0.2442798,-1.041217,3.456337,2.064376,-0.7114867,-0.1957765,0.7359951,-0.2739594,3.647721,-0.1890735,-0.2362093,0.05652073,-0.1544191,-0.9040574,1.638126,-0.02211116,0.1459959,1.366292,0.7803236,271.9856,234.578,104.0998
7,0.5888891,-1.61223,0.2717131,-0.6575447,-1.05281,3.30371,-2.48203,-1.608786,0.8276563,0.226893,-1.034241,3.449476,2.084163,-0.7324697,-0.1808929,0.7628956,-0.2644018,3.649446,-0.1817674,-0.2448103,0.04270607,-0.1512799,-0.9056074,1.637963,-0.01889992,0.1432132,1.374421,0.7832007,271.8447,203.8687,134.1929
7,0.6000003,-1.634573,0.2195449,-0.6508119,-1.047621,3.29822,-2.460146,-1.567495,0.8223885,0.1935207,-1.026995,3.443597,2.102957,-0.7440587,-0.1755728,0.7747496,-0.2550227,3.649724,-0.1732448,-0.2448693,0.03417501,-0.1523947,-0.90738,1.63778,-0.01604182,0.1405736,1.382813,0.7860762,272.2173,184.1592,153.5413
7,0.6111114,-1.628116,0.1694511,-0.6525069,-1.041898,3.293091,-2.439744,-1.553966,0.841589,0.1571932,-1.018506,3.437219,2.12312,-0.7429994,-0.1681064,0.7715734,-0.246442,3.649294,-0.1646105,-0.244835,0.04274867,-0.1608687,-0.9095685,1.638774,-0.01401302,0.1380864,1.391081,0.7888358,272.6548,182.6345,155.0734
7,0.6222225,-1.609853,0.1191997,-0.6754713,-1.034883,3.287263,-2.419517,-1.528708,0.8490739,0.1196855,-1.010301,3.431372,2.142317,-0.748179,-0.1553522,0.7812679,-0.2373452,3.650673,-0.1576402,-0.2427272,0.04276389,-0.1661943,-0.9115548,1.639419,-0.01170113,0.1355239,1.399262,0.7913165,273.1477,189.8108,148.2142
7,0.6333337,-1.590591,0.08501257,-0.6857888,-1.028403,3.281426,-2.399517,-1.501194,0.8714821,0.1002901,-1.001642,3.424202,2.161916,-0.7607756,-0.1660464,0.8037258,-0.2272305,3.647404,-0.1454621,-0.2448734,0.04280327,-0.1704388,-0.9134632,1.640004,-0.009215336,0.1328444,1.40712,0.793796,273.7305,189.1876,148.9619
7,0.6444448,-1.559634,0.05832921,-0.6960955,-1.022272,3.275168,-2.379823,-1.477905,0.8841886,0.08740127,-0.9942848,3.416316,2.181743,-0.7924207,-0.2065992,0.850746,-0.2153459,3.636467,-0.1245236,-0.2491031,0.04384714,-0.1618972,-0.9149247,1.640672,-0.006654707,0.130298,1.415263,0.7963224,274.2149,186.8847,151.2817
7,0.655556,-1.543523,0.06446204,-0.7217484,-1.015732,3.267004,-2.358862,-1.422561,0.8970491,0.08056474,-0.9860982,3.40844,2.199677,-0.8346975,-0.2183371,0.8884012,-0.203587,3.627339,-0.1045576,-0.2714731,0.03426714,-0.1405731,-0.9155335,1.64049,-0.002617355,0.1276,1.422975,0.7989402,274.6181,184.9484,152.9679
7,0.6666671,-1.593575,0.1175162,-0.7405103,-1.011822,3.25657,-2.333721,-1.28926,0.8578003,0.09117624,-0.9802356,3.401413,2.212507,-0.8609319,-0.1736078,0.9122853,-0.1925998,3.632156,-0.09867358,-0.2787596,0.05555232,-0.1287106,-0.9164885,1.642357,-0.0003507383,0.1281233,1.431551,0.8018667,275.0602,185.2729,152.2162
7,0.6777782,-1.685328,0.1857678,-0.7160137,-1.010116,3.246438,-2.306258,-1.229283,0.8482755,0.1279686,-0.9748959,3.392187,2.228586,-0.8259692,-0.1469858,0.8843406,-0.1842593,3.634188,-0.0931161,-0.2690572,0.0703478,-0.1190633,-0.9174222,1.644053,0.001202417,0.1258547,1.439426,0.8047094,275.5528,186.5803,150.6757
7,0.6888894,-1.718437,0.196546,-0.6939417,-1.007237,3.238419,-2.281808,-1.160766,0.8377029,0.1668174,-0.9698088,3.382208,2.244398,-0.7762015,-0.1150435,0.8434886,-0.1767173,3.637419,-0.08976317,-0.2764907,0.07034229,-0.1105216,-0.9183304,1.644948,0.003986219,0.1237637,1.447142,0.8075526,276.0077,187.5244,149.5361
7,0.7000005,-1.705642,0.1902065,-0.687503,-1.003477,3.230221,-2.259217,-1.083952,0.7845425,0.1715221,-0.9656675,3.374901,2.257881,-0.7347787,-0.08313692,0.819766,-0.1686292,3.64327,-0.08893866,-0.2924742,0.07044807,-0.1115368,-0.9195783,1.645881,0.007309845,0.1219074,1.454795,0.8105292,276.4215,185.588,151.3059
7,0.7111117,-1.692896,0.1680896,-0.6702322,-1.000271,3.222625,-2.236959,-1.049942,0.7707419,0.1595331,-0.9602948,3.36739,2.272507,-0.7209888,-0.09489584,0.817448,-0.1594168,3.63776,-0.07593498,-0.2968,0.06735913,-0.1264558,-0.9215443,1.646605,0.01026462,0.1199512,1.462488,0.8133245,276.8956,184.9443,152.0841
7,0.7222228,-1.683233,0.1117222,-0.658138,-0.9948611,3.216622,-2.215616,-1.026926,0.779309,0.1092792,-0.9529424,3.360959,2.286827,-0.7273278,-0.1194232,0.8301975,-0.1495733,3.627036,-0.05711921,-0.3010986,0.06745958,-0.1392266,-0.9235992,1.647562,0.01319729,0.1183578,1.470313,0.8155578,277.5545,188.72,149.7065
7,0.7333339,-1.684209,0.07658002,-0.6632973,-0.9895529,3.20888,-2.192418,-1.007021,0.7995908,0.07076636,-0.9451079,3.353648,2.301778,-0.7613421,-0.1257229,0.8401114,-0.139588,3.619323,-0.03959428,-0.3149905,0.06656295,-0.154109,-0.9259976,1.648372,0.01674116,0.11621,1.477994,0.8177525,278.2543,191.3604,148.1935
7,0.7444451,-1.682047,0.06390667,-0.6557962,-0.985613,3.201437,-2.170054,-0.9719366,0.7932446,0.06089109,-0.939021,3.346155,2.315705,-0.8081204,-0.1074595,0.8438552,-0.1300358,3.617965,-0.02736984,-0.3117881,0.06977108,-0.1583641,-0.9278368,1.64962,0.01931644,0.1142584,1.485763,0.8202147,278.8636,191.9937,148.3073
7,0.7555562,-1.691548,0.05867471,-0.6570154,-0.9816699,3.192808,-2.146551,-0.9163463,0.7783837,0.08173725,-0.9343078,3.337773,2.328787,-0.832186,-0.0840497,0.8804141,-0.1189884,3.62171,-0.02085575,-0.2957375,0.0749304,-0.1477247,-0.9290427,1.650899,0.02116334,0.1117891,1.493334,0.8227561,279.3281,190.8108,149.8037
7,0.7666674,-1.700015,0.07779057,-0.6690291,-0.9784337,3.18309,-2.121865,-0.8531399,0.7613864,0.1227519,-0.9306368,3.328475,2.341625,-0.8244283,-0.07459676,0.9070086,-0.1078575,3.619426,-0.009670204,-0.2807747,0.071519,-0.1275471,-0.9297335,1.65168,0.02315086,0.1097206,1.501009,0.8256152,279.6454,188.1729,152.2806
