loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
4,0.2444444,-0.7168826,-0.2082744,0.255089,-1.497203,-4.640817,-2.920648,0.3200593,1.198806,0.4535263,-1.572517,0.07325787,-0.08663703,-0.04727229,0.2355016,-0.738803,-3.505733,-0.5709139,0.3062194,1.409405,0.3623407,-0.129554,-0.1635251,-0.0771461,-0.9940973,0.6488257,-0.1902682,0.4559743,1.507449,0.2415283,0.03908721,1.146271,0.3415463,283.3594,267.5055,342.7681,False
4,0.2555556,-0.7539558,-0.1801811,0.2202813,-1.49797,-4.640294,-2.910409,0.3190274,1.199459,0.4532318,-1.57262,-0.009546412,-0.05992686,-0.07701871,0.2352514,-0.7356088,-3.505637,-0.571014,0.3069468,1.410052,0.3623195,-0.125542,-0.1773057,-0.1070111,-0.995839,0.6461339,-0.187518,0.4568728,1.507092,0.2408118,0.037991,1.148906,0.3397407,283.0513,267.6719,342.2093,False
4,0.2666667,-0.8070104,-0.135838,0.1685866,-1.498271,-4.640299,-2.899688,0.3179159,1.200244,0.4531226,-1.572966,-0.03118367,-0.02157526,-0.1003268,0.2263908,-0.7327176,-3.506213,-0.5715559,0.3078022,1.410742,0.3624582,-0.1258145,-0.2017286,-0.1411266,-0.9980761,0.6425448,-0.1844023,0.4577776,1.506942,0.2404006,0.03672499,1.151812,0.3384558,282.7355,267.7928,341.8101,False
4,0.2777778,-0.8451102,-0.09683309,0.112742,-1.497819,-4.640574,-2.889137,0.3168442,1.20115,0.4532616,-1.572355,0.05649086,-0.001244038,-0.1119949,0.2336701,-0.7295208,-3.505855,-0.5724241,0.3085416,1.411498,0.3625324,-0.1239823,-0.2251267,-0.177394,-1.000507,0.6380174,-0.1804425,0.4587692,1.506882,0.2400873,0.03537555,1.155034,0.3376609,282.3081,267.9943,341.5193,False
4,0.2888889,-0.868374,-0.07686733,0.07519881,-1.497567,-4.640327,-2.878782,0.3159037,1.201932,0.4531054,-1.572357,-0.0003102614,0.02671707,-0.1322011,0.260052,-0.7250968,-3.505488,-0.5740073,0.3095199,1.41232,0.3626325,-0.1135038,-0.2463845,-0.1977379,-1.002739,0.6338922,-0.1773593,0.4597092,1.506762,0.2396455,0.03391766,1.158621,0.3373099,281.8062,268.1418,341.3859,False
4,0.3,-0.868374,-0.07686733,0.07519881,-1.497567,-4.640327,-2.878782,0.3159037,1.201932,0.4531054,-1.573073,-0.06503331,0.02671707,-0.1322011,0.260052,-0.7250968,-3.505488,-0.5740073,0.3095199,1.41232,0.3626325,-0.1135038,-0.2463845,-0.1977379,-1.002739,0.6338922,-0.1773593,0.4597092,1.506762,0.2396455,0.03236886,1.162607,0.3373688,281.2233,268.2111,341.3681,False
4,0.3111111,-0.9424525,0.002228945,-0.03753145,-1.494699,-4.64365,-2.855381,0.3140224,1.204218,0.4540615,-1.583812,-0.9812049,0.07425545,-0.183321,0.3288529,-0.7144287,-3.504497,-0.5773035,0.3118363,1.414234,0.3629234,-0.09763014,-0.3326812,-0.2064947,-1.005895,0.6214566,-0.1689544,0.4616077,1.507055,0.2390785,0.03109997,1.1669,0.337816,280.4599,268.3848,341.3242,False
4,0.3222222,-0.9805452,0.05929229,-0.1020156,-1.492233,-4.647037,-2.842924,0.3131748,1.205548,0.4546888,-1.56286,1.924112,0.09700008,-0.2121046,0.365901,-0.7081904,-3.504788,-0.5788852,0.3129807,1.415272,0.3632648,-0.09124896,-0.3880844,-0.2034141,-1.007009,0.6138032,-0.1640574,0.4625556,1.507001,0.2385993,0.03060019,1.170862,0.3385893,279.3292,269.0746,340.8063,False
4,0.3333333,-1.013301,0.1227372,-0.1707389,-1.489827,-4.651562,-2.830313,0.3125965,1.206883,0.4553666,-1.572172,-0.8683306,0.1281087,-0.2269671,0.3880068,-0.7023459,-3.504413,-0.5815958,0.3141136,1.416284,0.363512,-0.09979305,-0.4253318,-0.2023323,-1.008395,0.6070325,-0.1591881,0.4635927,1.506783,0.2380445,0.02872148,1.175112,0.3394183,279.0706,268.724,341.2567,False
4,0.3444445,-1.0376,0.1926347,-0.2309461,-1.48732,-4.657073,-2.817506,0.311996,1.208259,0.4561455,-1.573351,-0.09797049,0.15493,-0.2301264,0.4112321,-0.6964582,-3.503296,-0.5850086,0.3153107,1.417289,0.3637979,-0.1072129,-0.4679492,-0.1938045,-1.009183,0.5988687,-0.1533738,0.4645883,1.506712,0.2375677,0.02682289,1.179864,0.3404417,278.5856,267.7758,342.3183,False
