loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
3,1.600003,0.7157882,0.25965,0.08303047,-1.458601,-4.545687,-1.555795,0.2636329,1.436283,0.4145436,-0.1552262,-0.3101747,0.08842537,-1.374061,-4.398141,2.142672,0.04952613,1.50387,0.3608253,-0.2098542,-0.01001875,0.02403202,-0.3767643,0.7216241,1.522205,0.4729386,1.497879,0.3666775,-0.09287089,0.04638954,-0.06819524,-1.139458,0.191697,0.2642942,0.5838933,1.494601,0.2101855,-0.1415851,1.640967,0.2427405,286.4494,146.6413,123.4547
3,1.611114,0.739857,0.2651805,0.07540709,-1.462455,-4.544642,-1.554355,0.2631182,1.436574,0.4140668,-0.1651764,-0.3114614,0.09141751,-1.378452,-4.396737,2.133991,0.0484941,1.503597,0.3603673,-0.2247061,0.004708156,0.04025192,-0.3761821,0.7184487,1.528137,0.4726487,1.49814,0.3662534,-0.1025552,0.06026191,-0.07764943,-1.140311,0.1932611,0.265033,0.5839377,1.494582,0.2100022,-0.1435521,1.639789,0.2422101,286.6525,148.1317,122.0469
3,1.622225,0.7602062,0.2825836,0.07692008,-1.466503,-4.543247,-1.552948,0.2626932,1.436957,0.4137681,-0.176275,-0.3182779,0.09151265,-1.382192,-4.394623,2.124566,0.04740581,1.50314,0.3593454,-0.2094257,0.02263592,0.0892107,-0.3752841,0.7113311,1.536507,0.472248,1.498316,0.3659313,-0.1101,0.07306223,-0.0860626,-1.141202,0.1948652,0.2658066,0.5839883,1.494585,0.2098458,-0.1456037,1.638622,0.2417763,286.795,149.1542,121.1012
3,1.633336,0.7916188,0.3155112,0.07157326,-1.471712,-4.541663,-1.551339,0.2621642,1.437248,0.4132693,-0.1909688,-0.3473557,0.09776085,-1.388211,-4.393061,2.115229,0.04632625,1.502821,0.3588531,-0.1955959,0.03653201,0.09661369,-0.3743414,0.7076548,1.541641,0.4719574,1.498453,0.3655453,-0.1154644,0.06987448,-0.08920503,-1.142079,0.1958771,0.2668743,0.584002,1.494545,0.2097418,-0.147693,1.637255,0.2412317,286.9561,150.1136,120.2048
3,1.644447,0.8263183,0.3611821,0.06674855,-1.478859,-4.540239,-1.548841,0.2615777,1.437399,0.4125628,-0.2284196,-0.3997926,0.1306134,-1.394995,-4.391513,2.105742,0.04507956,1.502467,0.3586254,-0.2021173,0.03232145,0.08067024,-0.3741507,0.7071596,1.544627,0.4716982,1.498664,0.3651567,-0.1153572,0.07411504,-0.07961611,-1.142439,0.1970481,0.2676567,0.5839689,1.49452,0.2097063,-0.1498552,1.635866,0.2410052,286.9523,150.219,120.0452
3,1.655559,0.8462428,0.3977069,0.06897877,-1.485209,-4.538882,-1.546922,0.2611375,1.437692,0.4120514,-0.2394176,-0.4311536,0.1478672,-1.402056,-4.389604,2.096414,0.04401919,1.502135,0.3581541,-0.223374,0.01305006,0.07331665,-0.3747318,0.7054652,1.549477,0.4713514,1.498862,0.3648531,-0.1088762,0.08475286,-0.07221712,-1.142734,0.1986307,0.2679406,0.5839492,1.49452,0.2096124,-0.1517971,1.634552,0.2408392,287.0811,151.0453,119.2859
3,1.66667,0.8258864,0.4582951,0.07560182,-1.492283,-4.537642,-1.546194,0.2605606,1.437931,0.4115386,-0.2235514,-0.4693163,0.1644106,-1.410235,-4.387685,2.088932,0.04301208,1.501931,0.3578134,-0.2286813,-0.002920948,0.06476124,-0.375364,0.70395,1.553532,0.4710138,1.499014,0.3644722,-0.1099199,0.08901064,-0.07006447,-1.143104,0.2000353,0.2686496,0.5839137,1.494481,0.2095904,-0.153777,1.633404,0.2408127,287.2786,152.214,118.3145
3,1.677781,0.8039145,0.4712889,0.07222586,-1.498912,-4.536125,-1.545734,0.2600662,1.438157,0.4112091,-0.2085997,-0.4956604,0.1690765,-1.416966,-4.386106,2.081534,0.04193863,1.501531,0.3574045,-0.2372279,-0.007211924,0.05949162,-0.3756362,0.7026434,1.55764,0.4706441,1.499223,0.3641801,-0.1173245,0.0975233,-0.06570651,-1.143354,0.2015908,0.2695484,0.5839354,1.494475,0.209517,-0.1556748,1.63238,0.240837,287.5429,153.9121,116.928
3,1.688892,0.7609183,0.46789,0.06343129,-1.504743,-4.535416,-1.545828,0.2595326,1.438344,0.4107037,-0.178809,-0.4919295,0.174565,-1.423,-4.384922,2.075319,0.0410324,1.501209,0.357007,-0.2308356,-0.002928562,0.06265356,-0.3755201,0.7002514,1.562276,0.4702585,1.499463,0.3639898,-0.120448,0.1017729,-0.05927041,-1.143426,0.203082,0.2703854,0.5838868,1.494455,0.2094903,-0.1573165,1.631448,0.2409159,287.8576,156.4262,115.0189
3,1.700003,0.7155943,0.4602879,0.05060124,-1.509476,-4.53468,-1.545707,0.2590123,1.438484,0.4099371,-0.1567998,-0.472767,0.1724219,-1.428674,-4.384118,2.069448,0.04020199,1.501064,0.3567619,-0.208525,0.002551749,0.06033438,-0.3753038,0.6986206,1.565455,0.469835,1.499643,0.3637128,-0.1215303,0.1007141,-0.06033332,-1.143908,0.2045033,0.2712259,0.5838805,1.494454,0.2094643,-0.1588556,1.630499,0.2409997,288.0035,158.151,113.5998
3,1.711114,0.6613363,0.4352777,0.02535921,-1.513838,-4.534592,-1.545615,0.2585781,1.438586,0.4094346,-0.1359896,-0.4419538,0.1735828,-1.433437,-4.384103,2.064538,0.03945389,1.500763,0.3565173,-0.2022213,-0.002666965,0.04746673,-0.3755547,0.698083,1.56794,0.4694671,1.499831,0.3634198,-0.1271319,0.09330845,-0.08480071,-1.145536,0.2059225,0.2722502,0.5838798,1.494478,0.209471,-0.1604699,1.629501,0.2408971,288.0164,159.3381,112.543
