loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0.3222222,0.04015,0.3362068,-0.2320762,-1.28923,-2.658008,-1.329226,0.3952654,-0.09077358,-0.06349675,-0.5406616,-1.178279,0.1474273,0.1201964,-0.3916333,0.02612713,-0.9678695,1.716868,1.92608,0.0574064,1.197951,0.7387788,281.8238,7.969126,336.3583
2,0.3333333,0.01401637,0.3631245,-0.2736452,-1.262298,-2.686944,-1.308432,0.4327209,-0.1308556,-0.05066544,-0.5369892,-1.168171,0.1272629,0.1249407,-0.4373111,-0.009296492,-0.9729294,1.705151,1.929924,0.06373115,1.218863,0.7399092,281.4014,14.95638,328.6095
2,0.3444445,0.02753339,0.3863262,-0.2757285,-1.245673,-2.705241,-1.293807,0.4515984,-0.1301575,-0.07176431,-0.5358227,-1.161669,0.1158092,0.1462594,-0.452372,2.756715E-06,-0.9745593,1.699002,1.931357,0.06718206,1.22973,0.7409348,280.7371,17.5809,325.55
2,0.3555556,0.04647131,0.4086561,-0.2809082,-1.229983,-2.721996,-1.279801,0.4735461,-0.1239152,-0.09202133,-0.5347643,-1.151386,0.1008497,0.1654947,-0.4695701,0.01357621,-0.9760507,1.692259,1.932727,0.07110874,1.240506,0.7417423,280.0847,20.60718,322.1431
2,0.3666667,0.0572333,0.4384764,-0.3006305,-1.211376,-2.73887,-1.263415,0.5074465,-0.130865,-0.1062463,-0.5331547,-1.141723,0.08547416,0.1845251,-0.5016279,0.01535629,-0.9782659,1.684894,1.934348,0.07511268,1.251603,0.7427983,278.8604,22.52678,319.8257
2,0.3777778,0.05150537,0.4507157,-0.3229076,-1.192337,-2.756706,-1.246378,0.5275224,-0.1456951,-0.1027609,-0.5311616,-1.12931,0.06605279,0.1885249,-0.5239514,0.0002989173,-0.981051,1.677726,1.936107,0.07939506,1.263193,0.74358,277.6502,21.56996,320.7193
2,0.3888889,0.02745209,0.4500543,-0.3587406,-1.173635,-2.776976,-1.227125,0.5450137,-0.1707032,-0.0762745,-0.5282018,-1.113224,0.04300792,0.1742262,-0.5482455,-0.03270382,-0.9850596,1.670678,1.938472,0.08330575,1.274574,0.7445641,276.5558,20.27695,322.0401
2,0.4,0.04076535,0.4437347,-0.3783295,-1.15602,-2.797382,-1.20773,0.5583477,-0.1588957,-0.06852356,-0.5262182,-1.097826,0.02271517,0.1657168,-0.5599496,-0.02626887,-0.9872732,1.663405,1.940879,0.08722176,1.286831,0.7463024,275.5422,15.4966,327.0994
2,0.4111111,0.04719849,0.445532,-0.4302177,-1.138288,-2.821978,-1.183862,0.5996167,-0.1553347,-0.0463112,-0.5258726,-1.077578,-0.0008799084,0.1484469,-0.6024698,-0.02841446,-0.9905777,1.654612,1.9446,0.09173492,1.298968,0.7470986,274.6647,12.29754,330.4648
2,0.4222222,0.05866817,0.4333704,-0.4855009,-1.120982,-2.847679,-1.157668,0.6379989,-0.1401099,-0.01701742,-0.5264521,-1.056822,-0.02404835,0.120609,-0.6417854,-0.02297644,-0.9936973,1.64527,1.9493,0.09560858,1.311284,0.7480097,273.8224,12.1531,330.5131
2,0.4333333,0.06120136,0.4238631,-0.5192265,-1.104217,-2.873068,-1.131234,0.6595392,-0.1341954,-0.001082778,-0.5271083,-1.037964,-0.04628521,0.1066317,-0.6640806,-0.02506419,-0.9970034,1.636474,1.953341,0.09988105,1.323326,0.7490335,272.8958,16.78294,325.6098
2,0.4444444,0.05158831,0.4014459,-0.5403913,-1.086371,-2.900502,-1.099698,0.6615882,-0.1333105,0.01929709,-0.5264643,-1.016884,-0.07023288,0.08942951,-0.6682099,-0.03661761,-1.00045,1.628591,1.957258,0.1041614,1.335316,0.7508093,271.8563,28.06713,314.0244
2,0.4555556,0.05158831,0.4014459,-0.5403913,-1.086371,-2.900502,-1.099698,0.6615882,-0.1333105,0.01929709,-0.5264643,-1.016884,-0.07023288,0.08942951,-0.6682099,-0.03661761,-1.00045,1.628591,1.957258,0.1041614,1.335316,0.7508093,271.8563,28.06713,314.0244
2,0.4666667,-0.03175312,0.3570685,-0.5389057,-1.054604,-2.958592,-1.036128,0.6173885,-0.1829903,0.06535806,-0.525709,-0.9708836,-0.121274,0.06108214,-0.633622,-0.1171234,-1.00982,1.616341,1.963027,0.1132703,1.359976,0.7534358,270.5658,194.7312,148.0688
2,0.4777778,-0.07775457,0.3499154,-0.5199245,-1.040622,-2.989633,-1.001849,0.5884094,-0.2176084,0.07231224,-0.5263866,-0.9449908,-0.1484153,0.06393284,-0.6067975,-0.1628419,-1.01517,1.611594,1.96472,0.117526,1.372199,0.7553012,271.6179,202.5378,140.791
2,0.4888889,-0.1194129,0.3575473,-0.5174832,-1.028202,-3.022952,-0.964092,0.5821383,-0.2548854,0.07769738,-0.526377,-0.9189658,-0.1753425,0.07203688,-0.6013138,-0.2076559,-1.02115,1.606004,1.966338,0.1218091,1.384603,0.7572396,272.4641,202.3114,141.7694
2,0.5,-0.165296,0.3484044,-0.5227447,-1.016726,-3.055736,-0.9261798,0.5747951,-0.2845699,0.1029617,-0.5271291,-0.8898351,-0.2045702,0.05884284,-0.595714,-0.2522555,-1.027575,1.601065,1.968415,0.1259462,1.396969,0.7592092,273.1392,193.1852,151.3904
2,0.5111111,-0.2078746,0.3045924,-0.5185061,-1.006145,-3.088829,-0.8879911,0.545342,-0.2927438,0.1474449,-0.5289187,-0.8654395,-0.2295245,0.01710305,-0.5698029,-0.282611,-1.033516,1.597148,1.971564,0.130115,1.409077,0.7617015,274.0254,183.9902,160.8048
2,0.5222223,-0.2197687,0.2396127,-0.5023103,-0.9968947,-3.120732,-0.849869,0.5046656,-0.2625252,0.1855298,-0.5318359,-0.8386598,-0.2554477,-0.03163238,-0.5302028,-0.2755225,-1.03777,1.593011,1.975406,0.1343188,1.42111,0.7645108,275.1197,184.7823,160.4106
